"response_id","factor_for_visit","is_top_three"
"GEN24_1000664","Its landscapes and scenery",FALSE
"GEN24_1000669","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000671","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1000671","I've always wanted to visit",FALSE
"GEN24_1000671","Its landscapes and scenery",TRUE
"GEN24_1000671","The variety of outdoor and adventure activities",TRUE
"GEN24_1000674","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000676","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000676","Sports events or activities",FALSE
"GEN24_1000677","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000677","The variety of outdoor and adventure activities",FALSE
"GEN24_1000691","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000693","None of these",FALSE
"GEN24_1000697","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000700","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1000700","Its landscapes and scenery",TRUE
"GEN24_1000700","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1000700","The variety of outdoor and adventure activities",TRUE
"GEN24_1000706","I've always wanted to visit",FALSE
"GEN24_1000706","Its landscapes and scenery",FALSE
"GEN24_1000706","The variety of outdoor and adventure activities",FALSE
"GEN24_1000708","I saw or found a good deal on flights to New Zealand/ a good travel package to New Zealand",TRUE
"GEN24_1000708","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",TRUE
"GEN24_1000708","Its landscapes and scenery",TRUE
"GEN24_1000708","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1000711","Its environmentally friendly image",FALSE
"GEN24_1000713","It was somewhere new, I had never been there before",FALSE
"GEN24_1000713","Its landscapes and scenery",FALSE
"GEN24_1000713","The variety of outdoor and adventure activities",FALSE
"GEN24_1000718","Friends, family or colleagues talked about or recommended New Zealand",TRUE
"GEN24_1000718","I saw or found a good deal on flights to New Zealand/ a good travel package to New Zealand",FALSE
"GEN24_1000718","I've always wanted to visit",TRUE
"GEN24_1000718","Its landscapes and scenery",TRUE
"GEN24_1000718","The variety of outdoor and adventure activities",FALSE
"GEN24_1000719","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000720","Its landscapes and scenery",FALSE
"GEN24_1000720","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1000720","New Zealand's food and wine",FALSE
"GEN24_1000729","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1000729","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1000729","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
