"response_id","accomm_type_used"
"GEN24_1000660","Staying with family or friends"
"GEN24_1000662","Hotel"
"GEN24_1000662","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000663","Staying with family or friends"
"GEN24_1000664","Backpackers"
"GEN24_1000664","Hotel"
"GEN24_1000664","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000669","Hotel"
"GEN24_1000669","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000669","Staying with family or friends"
"GEN24_1000671","Hotel"
"GEN24_1000671","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000671","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000674","Staying with family or friends"
"GEN24_1000676","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000676","Staying with family or friends"
"GEN24_1000677","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000677","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000677","Staying with family or friends"
"GEN24_1000691","Staying with family or friends"
"GEN24_1000693","Staying with family or friends"
"GEN24_1000697","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000697","Staying with family or friends"
"GEN24_1000700","Farm-stay or Home-stay"
"GEN24_1000700","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000700","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000700","Staying with family or friends"
"GEN24_1000706","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000706","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000706","Staying with family or friends"
"GEN24_1000708","Hotel"
"GEN24_1000708","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000711","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000713","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000718","A house/ flat/ apartment/ timeshare you own"
"GEN24_1000719","Staying with family or friends"
"GEN24_1000720","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000729","Hotel"
"GEN24_1000729","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000729","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000729","Staying with family or friends"
"GEN24_1000731","Bed and Breakfast"
"GEN24_1000731","Farm-stay or Home-stay"
"GEN24_1000731","House / flat that you paid some rent for"
"GEN24_1000731","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000736","Hotel"
"GEN24_1000739","Hotel"
