"response_id","travelled_with"
"GEN24_1000807","Other adult(s) who are not family / relatives"
"GEN24_1000821","No one, I was on my own"
"GEN24_1000823","Other adult family / relative"
"GEN24_1000824","No one, I was on my own"
"GEN24_1000826","Child/children aged under 15"
"GEN24_1000826","My husband, wife or partner"
"GEN24_1000828","Other adult(s) who are not family / relatives"
"GEN24_1000829","No one, I was on my own"
"GEN24_1000837","Other adult family / relative"
"GEN24_1000844","No one, I was on my own"
"GEN24_1000852","My husband, wife or partner"
"GEN24_1000853","Other adult(s) who are not family / relatives"
"GEN24_1000857","My husband, wife or partner"
"GEN24_1000864","Other adult(s) who are not family / relatives"
"GEN24_1000865","My husband, wife or partner"
"GEN24_1000866","My husband, wife or partner"
"GEN24_1000868","Child/children aged under 15"
"GEN24_1000868","My husband, wife or partner"
"GEN24_1000869","No one, I was on my own"
"GEN24_1000870","No one, I was on my own"
"GEN24_1000871","My husband, wife or partner"
"GEN24_1000873","No one, I was on my own"
"GEN24_1000877","My husband, wife or partner"
"GEN24_1000879","Child/children aged 15 or older"
"GEN24_1000883","My husband, wife or partner"
"GEN24_1000884","Child/children aged 15 or older"
"GEN24_1000890","Other adult family / relative"
"GEN24_1000900","Child/children aged 15 or older"
"GEN24_1000902","My husband, wife or partner"
"GEN24_1000904","Child/children aged under 15"
"GEN24_1000904","My husband, wife or partner"
"GEN24_1000904","Other adult family / relative"
"GEN24_1000906","My husband, wife or partner"
"GEN24_1000907","My husband, wife or partner"
"GEN24_1000916","My husband, wife or partner"
"GEN24_1000917","My husband, wife or partner"
"GEN24_1000918","My husband, wife or partner"
"GEN24_1000921","Other adult(s) who are not family / relatives"
"GEN24_1000925","My husband, wife or partner"
"GEN24_1000927","My husband, wife or partner"
"GEN24_1000928","My husband, wife or partner"
"GEN24_1000937","Child/children aged 15 or older"
"GEN24_1000937","My husband, wife or partner"
"GEN24_1000938","Child/children aged under 15"
"GEN24_1000938","My husband, wife or partner"
"GEN24_1000945","My husband, wife or partner"
"GEN24_1000948","No one, I was on my own"
"GEN24_1000950","Child/children aged 15 or older"
"GEN24_1000950","My husband, wife or partner"
"GEN24_1000963","No one, I was on my own"
"GEN24_1000964","Other adult family / relative"
"GEN24_1000968","No one, I was on my own"
"GEN24_1000969","Other adult(s) who are not family / relatives"
"GEN24_1000970","Other adult(s) who are not family / relatives"
"GEN24_1000977","Child/children aged 15 or older"
"GEN24_1000980","My husband, wife or partner"
"GEN24_1000982","No one, I was on my own"
"GEN24_1000984","My husband, wife or partner"
"GEN24_1000986","Other adult family / relative"
"GEN24_1000989","Child/children aged 15 or older"
"GEN24_1000991","My husband, wife or partner"
"GEN24_1000992","Other adult(s) who are not family / relatives"
"GEN24_1000998","Other adult(s) who are not family / relatives"
"GEN24_1001001","Other adult(s) who are not family / relatives"
"GEN24_1001003","My husband, wife or partner"
"GEN24_1001004","No one, I was on my own"
"GEN24_1001009","My husband, wife or partner"
"GEN24_1001009","Other adult family / relative"
"GEN24_1001011","Other adult(s) who are not family / relatives"
"GEN24_1001018","My husband, wife or partner"
"GEN24_1001020","No one, I was on my own"
"GEN24_1001021","Other adult family / relative"
"GEN24_1001023","No one, I was on my own"
"GEN24_1001027","My husband, wife or partner"
"GEN24_1001038","No one, I was on my own"
"GEN24_1001040","No one, I was on my own"
"GEN24_1001043","No one, I was on my own"
"GEN24_1001047","Child/children aged under 15"
"GEN24_1001047","My husband, wife or partner"
"GEN24_1001056","My husband, wife or partner"
"GEN24_1001059","Other adult family / relative"
"GEN24_1001060","Other adult family / relative"
"GEN24_1001061","Child/children aged 15 or older"
"GEN24_1001061","My husband, wife or partner"
"GEN24_1001065","Child/children aged under 15"
