==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
      gender                                                                                                                                splits as  RLR-, agree=0.648, adj=0.174, (0 split)
      accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc < 0.5          to the right, agree=0.648, adj=0.174, (0 split)

Node number 840: 27 observations,    complexity param=0.0003437161
  mean=8.444444, MSE=3.358025 
  left son=1680 (15 obs) right son=1681 (12 obs)
  Primary splits:
      share_cost_accomm              < 0.1009912    to the right, improve=0.2654412, (0 missing)
      share_cost_dom_travel          < 0.04717714   to the left,  improve=0.1900654, (0 missing)
      arrival_season                 splits as  RRRL-, improve=0.1838235, (0 missing)
      transport_taxi_shuttle_service < 0.5          to the right, improve=0.1434065, (0 missing)
      share_cost_eating_out          < 0.2082391    to the left,  improve=0.1282223, (0 missing)
  Surrogate splits:
      share_cost_eating_out    < 0.1490741    to the left,  agree=0.778, adj=0.500, (0 split)
      share_cost_dom_travel    < 0.06316489   to the left,  agree=0.741, adj=0.417, (0 split)
      share_cost_entertainment < 0.156351     to the left,  agree=0.741, adj=0.417, (0 split)
      departure_location       splits as  LR-L-, agree=0.704, adj=0.333, (0 split)
      treated_spend_capped     < 2007.837     to the right, agree=0.704, adj=0.333, (0 split)

Node number 841: 231 observations,    complexity param=0.0003171762
  mean=9.121212, MSE=1.379247 
  left son=1682 (61 obs) right son=1683 (170 obs)
  Primary splits:
      share_cost_shopping            < 0.04371715   to the left,  improve=0.03200079, (0 missing)
      departure_location             splits as  LLRR-, improve=0.02475661, (0 missing)
      activity_health_spa_or_day_spa < 0.5          to the right, improve=0.02438109, (0 missing)
      arrival_location               splits as  LRRLR-, improve=0.02190375, (0 missing)
      activity_top_end_restaurants   < 0.5          to the left,  improve=0.02147286, (0 missing)
  Surrogate splits:
      share_cost_eating_out                 < 0.625        to the right, agree=0.762, adj=0.098, (0 split)
      share_cost_car_rentals                < 0.4589712    to the right, agree=0.758, adj=0.082, (0 split)
      transport_rental_campervan_motor_home < 0.5          to the right, agree=0.749, adj=0.049, (0 split)
      share_cost_other                      < 0.3085292    to the right, agree=0.749, adj=0.049, (0 split)
      departure_location                    splits as  RRLR-, agree=0.745, adj=0.033, (0 split)

Node number 842: 25 observations,    complexity param=0.0001908116
  mean=9, MSE=1.28 
  left son=1684 (14 obs) right son=1685 (11 obs)
  Primary splits:
      share_cost_shopping                                                           < 0.05052654   to the right, improve=0.2485795, (0 missing)
      share_cost_accomm                                                             < 0.2678233    to the left,  improve=0.1875000, (0 missing)
      activity_a_wildlife_sanctuary_a_sanctuary_for_new_zealands_endangered_species < 0.5          to the left,  improve=0.1436121, (0 missing)
      share_cost_dom_travel                                                         < 0.04062401   to the left,  improve=0.1302083, (0 missing)
      age_range                                                                     splits as  LLLLLRRRRRRRRR, improve=0.1252003, (0 missing)
  Surrogate splits:
      share_cost_car_rentals < 0.108444     to the left,  agree=0.76, adj=0.455, (0 split)
      share_cost_eating_out  < 0.1467001    to the right, agree=0.76, adj=0.455, (0 split)
      treated_spend_capped   < 5363.402     to the left,  agree=0.68, adj=0.273, (0 split)
      share_cost_accomm      < 0.2613298    to the left,  agree=0.68, adj=0.273, (0 split)
      share_cost_dom_travel  < 0.04062401   to the left,  agree=0.68, adj=0.273, (0 split)

Node number 843: 59 observations
  mean=9.677966, MSE=0.5573111 

Node number 846: 16 observations
  mean=9.25, MSE=1.6875 

Node number 847: 37 observations
  mean=9.918919, MSE=0.128561 

Node number 848: 11 observations
  mean=6.636364, MSE=9.867769 

Node number 849: 50 observations,    complexity param=0.0003239592
  mean=8.3, MSE=3.05 
  left son=1698 (43 obs) right son=1699 (7 obs)
  Primary splits:
      activity_scuba_diving_or_snorkelling < 0.5          to the left,  improve=0.08628070, (0 missing)
      itinerary_region_northland           < 0.5          to the left,  improve=0.08628070, (0 missing)
      no_days_in_nz                        < 128          to the left,  improve=0.06121107, (0 missing)
      share_cost_entertainment             < 0.01041667   to the left,  improve=0.05343482, (0 missing)
      itinerary_region_bay_of_plenty       < 0.5          to the left,  improve=0.05073339, (0 missing)
  Surrogate splits:
      share_cost_accomm            < 0.06836945   to the right, agree=0.92, adj=0.429, (0 split)
      transport_other_boat_or_ship < 0.5          to the left,  agree=0.90, adj=0.286, (0 split)
      share_cost_car_rentals       < 0.5942606    to the left,  agree=0.90, adj=0.286, (0 split)
      itinerary_region_taranaki    < 0.5          to the left,  agree=0.88, adj=0.143, (0 split)

Node number 850: 23 observations,    complexity param=0.0001621458
  mean=8.956522, MSE=1.172023 
  left son=1700 (14 obs) right son=1701 (9 obs)
  Primary splits:
      transport_bus_service_between_towns_cities < 0.5          to the left,  improve=0.2766129, (0 missing)
      no_days_in_nz                              < 120          to the right, improve=0.2032754, (0 missing)
      share_cost_car_rentals                     < 0.0169506    to the right, improve=0.1679724, (0 missing)
      share_cost_shopping                        < 0.09330144   to the left,  improve=0.1305812, (0 missing)
      activity_hot_pools                         < 0.5          to the left,  improve=0.1290819, (0 missing)
  Surrogate splits:
      accomm_youth_hostel_ymca_ywca                                      < 0.5          to the left,  agree=0.739, adj=0.333, (0 split)
      itinerary_region_bay_of_plenty                                     < 0.5          to the left,  agree=0.739, adj=0.333, (0 split)
      transport_drove_themselves                                         < 0.5          to the right, agree=0.739, adj=0.333, (0 split)
      share_cost_shopping                                                < 0.09330144   to the left,  agree=0.739, adj=0.333, (0 split)
      accomm_in_a_hut_at_a_national_park_department_of_conservation_area < 0.5          to the left,  agree=0.696, adj=0.222, (0 split)

Node number 851: 12 observations
  mean=9.833333, MSE=0.1388889 

Node number 854: 7 observations
  mean=8.142857, MSE=3.836735 

Node number 855: 108 observations,    complexity param=0.0001802327
  mean=9.462963, MSE=1.007888 
  left son=1710 (27 obs) right son=1711 (81 obs)
  Primary splits:
      activity_a_wildlife_sanctuary_a_sanctuary_for_new_zealands_endangered_species < 0.5          to the right, improve=0.05001701, (0 missing)
      arrival_season                                                                splits as  LLRR-, improve=0.04252021, (0 missing)
      arrival_year                                                                  splits as  LLRR-, improve=0.04223273, (0 missing)
      share_cost_dom_flights                                                        < 0.06901361   to the left,  improve=0.04074677, (0 missing)
      other_countries_visited_before                                                < 0.5          to the left,  improve=0.03969688, (0 missing)
  Surrogate splits:
      share_cost_day_cruise                < 0.01965714   to the right, agree=0.796, adj=0.185, (0 split)
      activity_scuba_diving_or_snorkelling < 0.5          to the right, agree=0.787, adj=0.148, (0 split)
      transport_train                      < 0.5          to the right, agree=0.778, adj=0.111, (0 split)
      share_cost_food_drink                < 0.4606061    to the right, agree=0.778, adj=0.111, (0 split)
      departure_location                   splits as  RR-L-, agree=0.769, adj=0.074, (0 split)

Node number 858: 1447 observations,    complexity param=0.0004715093
  mean=9.145128, MSE=1.806167 
  left son=1716 (638 obs) right son=1717 (809 obs)
  Primary splits:
      gender                       splits as  RLL-, improve=0.005345381, (0 missing)
      share_cost_shopping          < 0.09259259   to the right, improve=0.005177191, (0 missing)
      activity_top_end_restaurants < 0.5          to the left,  improve=0.004638189, (0 missing)
      treated_spend_capped         < 9305.44      to the right, improve=0.004619219, (0 missing)
      share_cost_accomm            < 0.4166667    to the right, improve=0.004235841, (0 missing)
  Surrogate splits:
      treated_spend_capped         < 6795         to the right, agree=0.574, adj=0.033, (0 split)
      age_range                    splits as  RRRRRRRRRLLLLL, agree=0.572, adj=0.028, (0 split)
      activity_hunting             < 0.5          to the right, agree=0.567, adj=0.019, (0 split)
      itinerary_region_marlborough < 0.5          to the right, agree=0.567, adj=0.019, (0 split)
      activity_top_end_restaurants < 0.5          to the right, agree=0.567, adj=0.017, (0 split)

Node number 859: 324 observations,    complexity param=0.0002645351
  mean=9.407407, MSE=1.080933 
  left son=1718 (10 obs) right son=1719 (314 obs)
  Primary splits:
      arrival_location              splits as  RRL-R-, improve=0.02425919, (0 missing)
      share_cost_food_drink         < 0.07618205   to the right, improve=0.01980560, (0 missing)
      share_cost_tour_package       < 0.7649182    to the right, improve=0.01957311, (0 missing)
      share_cost_car_rentals        < 0.0940383    to the left,  improve=0.01777079, (0 missing)
      other_countries_visited_after < 0.5          to the right, improve=0.01699043, (0 missing)

Node number 860: 7 observations
  mean=7.285714, MSE=3.346939 

Node number 861: 15 observations
  mean=9.2, MSE=1.626667 

Node number 862: 720 observations,    complexity param=0.0003491032
  mean=9.320833, MSE=1.47901 
  left son=1724 (8 obs) right son=1725 (712 obs)
  Primary splits:
      treated_spend_capped   < 16393.97     to the right, improve=0.015880900, (0 missing)
      no_days_in_nz          < 68.5         to the right, improve=0.013898340, (0 missing)
      transport_tour_bus     < 0.5          to the left,  improve=0.008468267, (0 missing)
      age_range              splits as  LLLLLRRRRRRRRR, improve=0.008276132, (0 missing)
      share_cost_car_rentals < 0.1527851    to the right, improve=0.008114205, (0 missing)

Node number 863: 289 observations,    complexity param=0.0002499445
  mean=9.564014, MSE=0.7649334 
  left son=1726 (7 obs) right son=1727 (282 obs)
  Primary splits:
      no_days_in_nz                              < 4.5          to the left,  improve=0.04183652, (0 missing)
      share_cost_eating_out                      < 0.4633274    to the right, improve=0.03497950, (0 missing)
      share_cost_shopping                        < 0.105241     to the left,  improve=0.03402959, (0 missing)
      transport_bus_service_between_towns_cities < 0.5          to the right, improve=0.02735614, (0 missing)
      transport_other_ferry                      < 0.5          to the left,  improve=0.02711641, (0 missing)

Node number 872: 14 observations
  mean=7.214286, MSE=6.596939 

Node number 873: 37 observations,    complexity param=0.0004545315
  mean=9, MSE=1.837838 
  left son=1746 (15 obs) right son=1747 (22 obs)
  Primary splits:
      share_cost_dom_travel                              < 0.06518291   to the right, improve=0.27865420, (0 missing)
      activity_trip_to_watch_whales_penguins_or_dolphins < 0.5          to the left,  improve=0.16898060, (0 missing)
      arrival_year                                       splits as  RLLR-, improve=0.10364150, (0 missing)
      treated_spend_capped                               < 5208.833     to the left,  improve=0.09874728, (0 missing)
      share_cost_eating_out                              < 0.06042351   to the left,  improve=0.09327731, (0 missing)
  Surrogate splits:
      itinerary_region_west_coast                                       < 0.5          to the right, agree=0.757, adj=0.400, (0 split)
      share_cost_shopping                                               < 0.06550474   to the right, agree=0.730, adj=0.333, (0 split)
      accomm_free_camping_staying_in_a_tent_caravan_campervan_motorhome < 0.5          to the right, agree=0.703, adj=0.267, (0 split)
      other_countries_no_countries_visited                              < 1.5          to the right, agree=0.703, adj=0.267, (0 split)
      treated_spend_capped                                              < 5208.833     to the left,  agree=0.703, adj=0.267, (0 split)

Node number 874: 155 observations,    complexity param=0.000230714
  mean=9.187097, MSE=1.313382 
  left son=1748 (88 obs) right son=1749 (67 obs)
  Primary splits:
      first_nz_trip            splits as  RL-, improve=0.04402784, (0 missing)
      share_cost_eating_out    < 0.09928846   to the right, improve=0.03204487, (0 missing)
      share_cost_entertainment < 0.1891515    to the right, improve=0.02865572, (0 missing)
      share_cost_day_cruise    < 0.04631702   to the right, improve=0.02865572, (0 missing)
      share_cost_dom_travel    < 0.07513441   to the right, improve=0.02811347, (0 missing)
  Surrogate splits:
      age_range                                               splits as  LLLLLLLLLRRRRR, agree=0.684, adj=0.269, (0 split)
      activity_glow_worm_tour                                 < 0.5          to the right, agree=0.677, adj=0.254, (0 split)
      share_cost_entertainment                                < 0.03195182   to the right, agree=0.671, adj=0.239, (0 split)
      accomm_staying_with_family_or_friends                   < 0.5          to the left,  agree=0.665, adj=0.224, (0 split)
      activity_a_geothermal_park_hot_mud_and_possibly_geysers < 0.5          to the right, agree=0.652, adj=0.194, (0 split)

Node number 875: 35 observations
  mean=9.742857, MSE=0.3053061 

Node number 876: 13 observations
  mean=8.230769, MSE=3.56213 

Node number 877: 146 observations,    complexity param=0.0002328923
  mean=9.253425, MSE=1.079612 
  left son=1754 (36 obs) right son=1755 (110 obs)
  Primary splits:
      share_cost_dom_flights      < 0.03648259   to the right, improve=0.04028307, (0 missing)
      arrival_location            splits as  LRR-R-, improve=0.03482400, (0 missing)
      activity_a_national_park    < 0.5          to the left,  improve=0.03235960, (0 missing)
      transport_local_bus_service < 0.5          to the left,  improve=0.03067457, (0 missing)
      share_cost_car_rentals      < 0.1111172    to the right, improve=0.03066293, (0 missing)
  Surrogate splits:
      transport_plane_within_new_zealand < 0.5          to the right, agree=0.815, adj=0.250, (0 split)
      share_cost_eating_out              < 0.03793136   to the left,  agree=0.781, adj=0.111, (0 split)
      itinerary_region_nelson            < 0.5          to the right, agree=0.767, adj=0.056, (0 split)
      transport_bicycle                  < 0.5          to the right, agree=0.767, adj=0.056, (0 split)
      no_days_in_nz                      < 103.5        to the right, agree=0.760, adj=0.028, (0 split)

Node number 878: 122 observations,    complexity param=0.0002733793
  mean=9.245902, MSE=1.201827 
  left son=1756 (20 obs) right son=1757 (102 obs)
  Primary splits:
      share_cost_accomm                                                           < 0.4354215    to the left,  improve=0.10334910, (0 missing)
      share_cost_entertainment                                                    < 0.1864812    to the right, improve=0.09768136, (0 missing)
      treated_spend_capped                                                        < 7415         to the left,  improve=0.06980296, (0 missing)
      activity_top_end_restaurants                                                < 0.5          to the left,  improve=0.04721294, (0 missing)
      activity_other_themed_experience_e_g_all_blacks_experience_antarctic_centre < 0.5          to the left,  improve=0.04606387, (0 missing)
  Surrogate splits:
      share_cost_entertainment                                  < 0.1762092    to the right, agree=0.869, adj=0.20, (0 split)
      activity_skiing_snowboarding_sledging_or_other_snow_sport < 0.5          to the right, agree=0.852, adj=0.10, (0 split)
      share_cost_other                                          < 0.02012408   to the right, agree=0.844, adj=0.05, (0 split)
      share_cost_day_cruise                                     < 0.07936508   to the right, agree=0.844, adj=0.05, (0 split)

Node number 879: 362 observations,    complexity param=0.0002663377
  mean=9.535912, MSE=0.823296 
  left son=1758 (187 obs) right son=1759 (175 obs)
  Primary splits:
      share_cost_eating_out                    < 0.2218122    to the right, improve=0.03616630, (0 missing)
      no_days_in_nz                            < 64.5         to the right, improve=0.02936810, (0 missing)
      activity_garden_visit_or_flower_show     < 0.5          to the left,  improve=0.02518814, (0 missing)
      treated_spend_capped                     < 1043.75      to the left,  improve=0.02366783, (0 missing)
      maori_exp_watch_a_live_maori_performance < 0.5          to the left,  improve=0.01400283, (0 missing)
  Surrogate splits:
      treated_spend_capped                  < 2602.038     to the left,  agree=0.646, adj=0.269, (0 split)
      share_cost_food_drink                 < 0.04138562   to the right, agree=0.624, adj=0.223, (0 split)
      travel_type                           splits as  LRR-, agree=0.610, adj=0.194, (0 split)
      accomm_staying_with_family_or_friends < 0.5          to the right, agree=0.610, adj=0.194, (0 split)
      package_deal                          splits as  LRR-, agree=0.602, adj=0.177, (0 split)

Node number 882: 11 observations
  mean=8.636364, MSE=2.413223 

Node number 883: 11 observations
  mean=9.727273, MSE=0.3801653 

Node number 890: 7 observations
  mean=8.285714, MSE=2.489796 

Node number 891: 31 observations
  mean=9.645161, MSE=0.616025 

Node number 892: 12 observations
  mean=8.583333, MSE=0.7430556 

Node number 893: 28 observations
  mean=9.5, MSE=0.6785714 

Node number 894: 271 observations,    complexity param=0.0001932184
  mean=9.553506, MSE=0.8227829 
  left son=1788 (112 obs) right son=1789 (159 obs)
  Primary splits:
      share_cost_eating_out    < 0.1717728    to the right, improve=0.03608083, (0 missing)
      share_cost_dom_travel    < 0.06512902   to the right, improve=0.02943548, (0 missing)
      share_cost_entertainment < 0.06968726   to the left,  improve=0.02723544, (0 missing)
      share_cost_car_rentals   < 0.07777615   to the left,  improve=0.02700812, (0 missing)
      share_cost_food_drink    < 0.1663209    to the right, improve=0.02381959, (0 missing)
  Surrogate splits:
      treated_spend_capped         < 2173.566     to the left,  agree=0.638, adj=0.125, (0 split)
      activity_a_national_park     < 0.5          to the left,  agree=0.627, adj=0.098, (0 split)
      share_cost_shopping          < 0.05352368   to the right, agree=0.620, adj=0.080, (0 split)
      no_days_in_nz                < 22.5         to the left,  agree=0.616, adj=0.071, (0 split)
      activity_top_end_restaurants < 0.5          to the right, agree=0.616, adj=0.071, (0 split)

Node number 895: 157 observations,    complexity param=0.00013243
  mean=9.789809, MSE=0.3443547 
  left son=1790 (40 obs) right son=1791 (117 obs)
  Primary splits:
      arrival_season           splits as  LRRL-, improve=0.08338569, (0 missing)
      share_cost_other         < 0.07089453   to the right, improve=0.05849948, (0 missing)
      share_cost_entertainment < 0.161022     to the right, improve=0.03974718, (0 missing)
      transport_rental_car     < 0.5          to the left,  improve=0.03490978, (0 missing)
      age_range                splits as  LLLLLRRRRRRRRR, improve=0.03276933, (0 missing)
  Surrogate splits:
      accomm_farm_stay_or_home_stay        < 0.5          to the right, agree=0.777, adj=0.125, (0 split)
      other_countries_no_countries_visited < 2.5          to the right, agree=0.764, adj=0.075, (0 split)
      share_cost_food_drink                < 0.5197645    to the right, agree=0.764, adj=0.075, (0 split)
      age_range                            splits as  LLRRRRRRRRRRRR, agree=0.758, adj=0.050, (0 split)
      accomm_backpackers                   < 0.5          to the right, agree=0.758, adj=0.050, (0 split)

Node number 908: 62 observations,    complexity param=0.0004417373
  mean=8.241935, MSE=2.538241 
  left son=1816 (7 obs) right son=1817 (55 obs)
  Primary splits:
      share_cost_eating_out      < 0.2306469    to the right, improve=0.11701730, (0 missing)
      accomm_backpackers         < 0.5          to the right, improve=0.10969530, (0 missing)
      arrival_season             splits as  RLRL-, improve=0.09849339, (0 missing)
      share_cost_dom_travel      < 0.02173709   to the right, improve=0.09326698, (0 missing)
      itinerary_region_northland < 0.5          to the right, improve=0.07982221, (0 missing)
  Surrogate splits:
      share_cost_day_cruise < 0.05920378   to the right, agree=0.903, adj=0.143, (0 split)

Node number 909: 37 observations,    complexity param=0.0002171626
  mean=9.297297, MSE=1.019722 
  left son=1818 (12 obs) right son=1819 (25 obs)
  Primary splits:
      share_cost_food_drink           < 0.1785008    to the right, improve=0.2399451, (0 missing)
      activity_swimming_surfing       < 0.5          to the left,  improve=0.1999887, (0 missing)
      share_cost_other                < 0.01245411   to the right, improve=0.1222736, (0 missing)
      activity_other_live_performance < 0.5          to the right, improve=0.1205622, (0 missing)
      share_cost_shopping             < 0.03247638   to the left,  improve=0.1156709, (0 missing)
  Surrogate splits:
      accomm_another_place_where_you_pay_to_park_a_caravan_or_campervan_motorhome_overnight < 0.5          to the right, agree=0.757, adj=0.250, (0 split)
      no_days_in_nz                                                                         < 338          to the right, agree=0.730, adj=0.167, (0 split)
      share_cost_day_cruise                                                                 < 0.007855312  to the left,  agree=0.730, adj=0.167, (0 split)
      gender                                                                                splits as  RRL-, agree=0.703, adj=0.083, (0 split)
      activity_other_live_performance                                                       < 0.5          to the right, agree=0.703, adj=0.083, (0 split)

Node number 910: 22 observations,    complexity param=0.0003151118
  mean=8.409091, MSE=1.969008 
  left son=1820 (11 obs) right son=1821 (11 obs)
  Primary splits:
      transport_rental_car                        < 0.5          to the right, improve=0.3032529, (0 missing)
      gender                                      splits as  LRL-, improve=0.2463299, (0 missing)
      share_cost_entertainment                    < 0.119256     to the left,  improve=0.2463299, (0 missing)
      share_cost_accomm                           < 0.2730352    to the right, improve=0.1784215, (0 missing)
      activity_a_film_location_tour_or_experience < 0.5          to the right, improve=0.1570129, (0 missing)
  Surrogate splits:
      share_cost_accomm                                         < 0.2730352    to the right, agree=0.773, adj=0.545, (0 split)
      share_cost_eating_out                                     < 0.07705642   to the right, agree=0.773, adj=0.545, (0 split)
      first_nz_trip                                             splits as  LR-, agree=0.727, adj=0.455, (0 split)
      transport_car_or_van_owned_by_you_family_friend_s_company < 0.5          to the left,  agree=0.727, adj=0.455, (0 split)
      travel_party_my_husband_wife_or_partner                   < 0.5          to the right, agree=0.727, adj=0.455, (0 split)

Node number 911: 73 observations,    complexity param=0.0002030664
  mean=9.39726, MSE=1.033965 
  left son=1822 (34 obs) right son=1823 (39 obs)
  Primary splits:
      share_cost_accomm        < 0.2111111    to the right, improve=0.08051849, (0 missing)
      activity_a_beach         < 0.5          to the left,  improve=0.07702445, (0 missing)
      share_cost_shopping      < 0.01438504   to the left,  improve=0.07463515, (0 missing)
      share_cost_entertainment < 0.1476035    to the right, improve=0.07259528, (0 missing)
      share_cost_eating_out    < 0.06241259   to the left,  improve=0.06694937, (0 missing)
  Surrogate splits:
      accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc < 0.5          to the right, agree=0.753, adj=0.471, (0 split)
      share_cost_food_drink                                                                                                                 < 0.2104257    to the left,  agree=0.740, adj=0.441, (0 split)
      activity_a_wildlife_sanctuary_a_sanctuary_for_new_zealands_endangered_species                                                         < 0.5          to the right, agree=0.644, adj=0.235, (0 split)
      share_cost_dom_flights                                                                                                                < 0.007694133  to the left,  agree=0.644, adj=0.235, (0 split)
      treated_spend_capped                                                                                                                  < 9884.121     to the right, agree=0.630, adj=0.206, (0 split)

Node number 936: 25 observations,    complexity param=0.0005698933
  mean=7.48, MSE=3.6896 
  left son=1872 (18 obs) right son=1873 (7 obs)
  Primary splits:
      activity_garden_visit_or_flower_show < 0.5          to the left,  improve=0.29144470, (0 missing)
      no_days_in_nz                        < 13           to the right, improve=0.11652140, (0 missing)
      arrival_year                         splits as  LLRR-, improve=0.10993060, (0 missing)
      share_cost_tour_package              < 0.8921198    to the left,  improve=0.09483886, (0 missing)
      activity_glow_worm_tour              < 0.5          to the left,  improve=0.09106956, (0 missing)
  Surrogate splits:
      travel_type                          splits as  LLR-, agree=0.80, adj=0.286, (0 split)
      transport_other_boat_or_ship         < 0.5          to the left,  agree=0.80, adj=0.286, (0 split)
      no_days_in_nz                        < 6.5          to the right, agree=0.76, adj=0.143, (0 split)
      activity_theme_park_or_leisure_park  < 0.5          to the left,  agree=0.76, adj=0.143, (0 split)
      maori_exp_eat_maori_traditional_food < 0.5          to the left,  agree=0.76, adj=0.143, (0 split)

Node number 937: 27 observations,    complexity param=0.0002676761
  mean=8.740741, MSE=2.340192 
  left son=1874 (8 obs) right son=1875 (19 obs)
  Primary splits:
      share_cost_dom_travel    < 0.0249541    to the right, improve=0.1766058, (0 missing)
      activity_a_national_park < 0.5          to the left,  improve=0.1611958, (0 missing)
      age_range                splits as  RRRRLLLLLLLLLL, improve=0.1418523, (0 missing)
      activity_jet_boating     < 0.5          to the left,  improve=0.1417518, (0 missing)
      no_days_in_nz            < 9.5          to the right, improve=0.1379215, (0 missing)
  Surrogate splits:
      share_cost_eating_out         < 0.01610437   to the right, agree=0.889, adj=0.625, (0 split)
      other_countries_visited_after < 0.5          to the right, agree=0.815, adj=0.375, (0 split)
      share_cost_other              < 0.01939915   to the right, agree=0.815, adj=0.375, (0 split)
      share_cost_dom_flights        < 0.1532955    to the right, agree=0.815, adj=0.375, (0 split)
      departure_location            splits as  RRRL-, agree=0.778, adj=0.250, (0 split)

Node number 938: 37 observations,    complexity param=0.0002406271
  mean=8.945946, MSE=1.564646 
  left son=1876 (9 obs) right son=1877 (28 obs)
  Primary splits:
      accomm_motel_motor_inn_or_serviced_apartment < 0.5          to the right, improve=0.18382350, (0 missing)
      share_cost_eating_out                        < 0.009381818  to the right, improve=0.15228160, (0 missing)
      share_cost_shopping                          < 0.008900146  to the right, improve=0.12381840, (0 missing)
      share_cost_day_cruise                        < 0.00462657   to the right, improve=0.09618069, (0 missing)
      treated_spend_capped                         < 8214.617     to the right, improve=0.07709751, (0 missing)
  Surrogate splits:
      share_cost_car_rentals                                       < 0.2412633    to the right, agree=0.838, adj=0.333, (0 split)
      accomm_staying_with_family_or_friends                        < 0.5          to the right, agree=0.811, adj=0.222, (0 split)
      maori_exp_see_maori_artefacts_art_or_crafts_in_an_exhibition < 0.5          to the right, agree=0.811, adj=0.222, (0 split)
      treated_spend_capped                                         < 9155         to the right, agree=0.811, adj=0.222, (0 split)
      departure_location                                           splits as  RLR--, agree=0.784, adj=0.111, (0 split)

Node number 939: 11 observations
  mean=10, MSE=0 

Node number 942: 7 observations
  mean=8.714286, MSE=1.346939 

Node number 943: 80 observations,    complexity param=0.0001013829
  mean=9.675, MSE=0.569375 
  left son=1886 (19 obs) right son=1887 (61 obs)
  Primary splits:
      share_cost_food_drink < 0.1115473    to the right, improve=0.09278694, (0 missing)
      treated_spend_capped  < 2958.539     to the left,  improve=0.05141739, (0 missing)
      activity_jet_boating  < 0.5          to the left,  improve=0.04637761, (0 missing)
      arrival_season        splits as  RRRL-, improve=0.04564109, (0 missing)
      share_cost_shopping   < 0.1117611    to the left,  improve=0.04281010, (0 missing)
  Surrogate splits:
      transport_campervan_motor_home_owned_by_you_family_friend_s < 0.5          to the right, agree=0.800, adj=0.158, (0 split)
      treated_spend_capped                                        < 1802.5       to the left,  agree=0.800, adj=0.158, (0 split)
      activity_theme_park_or_leisure_park                         < 0.5          to the right, agree=0.787, adj=0.105, (0 split)
      share_cost_accomm                                           < 0.4396786    to the right, agree=0.787, adj=0.105, (0 split)
      share_cost_dom_travel                                       < 0.3344371    to the right, agree=0.787, adj=0.105, (0 split)

Node number 946: 1724 observations,    complexity param=0.0005225571
  mean=9.182715, MSE=1.547242 
  left son=1892 (1170 obs) right son=1893 (554 obs)
  Primary splits:
      itinerary_region_west_coast             < 0.5          to the left,  improve=0.008036513, (0 missing)
      share_cost_dom_flights                  < 0.0932406    to the right, improve=0.007373954, (0 missing)
      itinerary_region_marlborough            < 0.5          to the left,  improve=0.006184944, (0 missing)
      travel_party_my_husband_wife_or_partner < 0.5          to the left,  improve=0.005926980, (0 missing)
      activity_a_national_park                < 0.5          to the left,  improve=0.005823089, (0 missing)
  Surrogate splits:
      transport_the_ferry_between_the_north_island_and_the_south_island < 0.5          to the left,  agree=0.731, adj=0.164, (0 split)
      itinerary_region_tasman                                           < 0.5          to the left,  agree=0.727, adj=0.150, (0 split)
      itinerary_region_marlborough                                      < 0.5          to the left,  agree=0.722, adj=0.135, (0 split)
      no_days_in_nz                                                     < 15.5         to the left,  agree=0.715, adj=0.114, (0 split)
      itinerary_region_nelson                                           < 0.5          to the left,  agree=0.712, adj=0.105, (0 split)

Node number 947: 559 observations,    complexity param=0.0004306345
  mean=9.418605, MSE=1.15214 
  left son=1894 (329 obs) right son=1895 (230 obs)
  Primary splits:
      treated_spend_capped                        < 5832.589     to the left,  improve=0.01901981, (0 missing)
      activity_went_for_a_walk_hike_trek_or_tramp < 0.5          to the left,  improve=0.01800888, (0 missing)
      share_cost_shopping                         < 0.01307269   to the left,  improve=0.01737135, (0 missing)
      no_days_in_nz                               < 7.5          to the left,  improve=0.01575479, (0 missing)
      accomm_hotel                                < 0.5          to the left,  improve=0.01077435, (0 missing)
  Surrogate splits:
      no_days_in_nz                                                     < 12.5         to the left,  agree=0.764, adj=0.426, (0 split)
      itinerary_region_wellington                                       < 0.5          to the left,  agree=0.692, adj=0.252, (0 split)
      activity_a_geothermal_park_hot_mud_and_possibly_geysers           < 0.5          to the left,  agree=0.691, adj=0.248, (0 split)
      itinerary_region_bay_of_plenty                                    < 0.5          to the left,  agree=0.685, adj=0.235, (0 split)
      transport_the_ferry_between_the_north_island_and_the_south_island < 0.5          to the left,  agree=0.680, adj=0.222, (0 split)

Node number 950: 21 observations,    complexity param=0.0002882484
  mean=8.714286, MSE=2.013605 
  left son=1900 (8 obs) right son=1901 (13 obs)
  Primary splits:
      activity_hot_pools                          < 0.5          to the right, improve=0.2841736, (0 missing)
      activity_a_film_location_tour_or_experience < 0.5          to the right, improve=0.2841736, (0 missing)
      arrival_season                              splits as  LLRL-, improve=0.1703624, (0 missing)
      share_cost_car_rentals                      < 0.04937909   to the left,  improve=0.1427365, (0 missing)
