==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
106 0.0003933522    263 0.8068397 1.1294662 0.02019318
107 0.0003921541    270 0.8039111 1.1301330 0.02019562
108 0.0003887484    272 0.8031268 1.1308208 0.02020810
109 0.0003881436    293 0.7947839 1.1326269 0.02022381
110 0.0003864724    297 0.7932314 1.1331334 0.02021880
111 0.0003827105    298 0.7928449 1.1351217 0.02023311
112 0.0003794903    299 0.7924622 1.1383738 0.02026292
113 0.0003788662    301 0.7917032 1.1401455 0.02028942
114 0.0003779400    305 0.7901877 1.1413473 0.02030384
115 0.0003772071    312 0.7875421 1.1416490 0.02030471
116 0.0003767784    317 0.7856561 1.1418636 0.02030561
117 0.0003763689    322 0.7837722 1.1418398 0.02029965
118 0.0003750693    325 0.7826431 1.1417876 0.02029958
119 0.0003748635    327 0.7818930 1.1427549 0.02030429
120 0.0003720969    329 0.7811432 1.1433683 0.02030580
121 0.0003712475    333 0.7796549 1.1454282 0.02031541
122 0.0003675365    335 0.7789124 1.1466236 0.02032386
123 0.0003667465    336 0.7785448 1.1481042 0.02033197
124 0.0003661158    338 0.7778113 1.1492682 0.02034076
125 0.0003658686    340 0.7770791 1.1501492 0.02033857
126 0.0003651403    343 0.7759815 1.1500856 0.02033650
127 0.0003640785    344 0.7756164 1.1500902 0.02033875
128 0.0003632397    345 0.7752523 1.1498528 0.02033397
129 0.0003629304    346 0.7748890 1.1503978 0.02033482
130 0.0003625266    347 0.7745261 1.1507433 0.02033495
131 0.0003614898    348 0.7741636 1.1506631 0.02033534
132 0.0003592555    349 0.7738021 1.1511944 0.02033840
133 0.0003582792    350 0.7734428 1.1511379 0.02032224
134 0.0003569605    352 0.7727263 1.1512722 0.02032260
135 0.0003567600    353 0.7723693 1.1516093 0.02032701
136 0.0003560709    356 0.7712648 1.1515348 0.02032670
137 0.0003558972    358 0.7705526 1.1515248 0.02032648
138 0.0003539578    359 0.7701967 1.1526747 0.02030934
139 0.0003536468    363 0.7686205 1.1526292 0.02031005
140 0.0003532741    366 0.7675596 1.1532013 0.02029149
141 0.0003510352    367 0.7672063 1.1538634 0.02029395
142 0.0003506549    373 0.7651001 1.1546055 0.02029701
143 0.0003492761    376 0.7640481 1.1546207 0.02029727
144 0.0003491032    377 0.7636988 1.1558092 0.02031684
145 0.0003467794    381 0.7622084 1.1560242 0.02032914
146 0.0003440158    385 0.7608200 1.1585823 0.02034584
147 0.0003437167    387 0.7601319 1.1589108 0.02035442
148 0.0003437161    389 0.7594445 1.1591934 0.02035551
149 0.0003432313    393 0.7580696 1.1588783 0.02032634
150 0.0003407592    394 0.7577264 1.1599921 0.02033249
151 0.0003374900    396 0.7570449 1.1607080 0.02033764
152 0.0003352923    397 0.7567074 1.1617952 0.02034125
153 0.0003343537    398 0.7563721 1.1623850 0.02035425
154 0.0003333185    407 0.7532129 1.1630512 0.02035913
155 0.0003304216    409 0.7525462 1.1640595 0.02035405
156 0.0003302649    410 0.7522158 1.1657184 0.02036308
157 0.0003288101    412 0.7515553 1.1655622 0.02035087
158 0.0003286082    415 0.7505688 1.1660860 0.02036049
159 0.0003259024    416 0.7502402 1.1690146 0.02038139
160 0.0003258232    418 0.7495884 1.1693494 0.02038498
161 0.0003248842    420 0.7489368 1.1696762 0.02040095
162 0.0003242088    421 0.7486119 1.1710792 0.02040744
163 0.0003239592    423 0.7479635 1.1713993 0.02040868
164 0.0003235188    427 0.7466676 1.1722657 0.02041606
165 0.0003228358    429 0.7460206 1.1725793 0.02041754
166 0.0003210558    436 0.7437608 1.1730285 0.02042161
167 0.0003201739    437 0.7434397 1.1745549 0.02042570
168 0.0003199215    439 0.7427994 1.1747229 0.02042853
169 0.0003190339    440 0.7424794 1.1749858 0.02043080
170 0.0003171762    442 0.7418414 1.1757934 0.02043189
171 0.0003166956    444 0.7412070 1.1768744 0.02043836
172 0.0003151118    446 0.7405736 1.1778236 0.02044661
173 0.0003088708    447 0.7402585 1.1806269 0.02044423
174 0.0003069421    448 0.7399496 1.1830364 0.02046710
175 0.0003069169    450 0.7393358 1.1835246 0.02046833
176 0.0003064251    452 0.7387219 1.1835380 0.02046864
177 0.0003054038    456 0.7374962 1.1837508 0.02046145
178 0.0003050348    458 0.7368854 1.1841969 0.02046307
179 0.0003046063    460 0.7362753 1.1845362 0.02046336
180 0.0003046063    461 0.7359707 1.1843873 0.02045731
181 0.0003044387    462 0.7356661 1.1844793 0.02045746
182 0.0003028766    466 0.7343687 1.1861095 0.02045401
183 0.0003023624    467 0.7340658 1.1868195 0.02045815
184 0.0003010510    469 0.7334611 1.1875391 0.02045854
185 0.0002991548    470 0.7331600 1.1881126 0.02041300
186 0.0002956559    471 0.7328609 1.1888020 0.02041728
187 0.0002898395    472 0.7325652 1.1917173 0.02041708
188 0.0002882484    476 0.7314059 1.1932730 0.02040412
189 0.0002879186    477 0.7311176 1.1940069 0.02040566
190 0.0002876902    481 0.7299660 1.1938614 0.02040552
191 0.0002872134    483 0.7293906 1.1941881 0.02040694
192 0.0002870481    484 0.7291034 1.1945433 0.02040692
193 0.0002862966    485 0.7288163 1.1949927 0.02041483
194 0.0002849620    486 0.7285300 1.1955510 0.02041030
195 0.0002840536    490 0.7273902 1.1963983 0.02042181
196 0.0002827127    491 0.7271061 1.1976616 0.02043229
197 0.0002822750    492 0.7268234 1.1978944 0.02043211
198 0.0002799055    494 0.7262588 1.1985614 0.02043420
199 0.0002797304    495 0.7259789 1.1997390 0.02042917
200 0.0002775498    496 0.7256992 1.2003753 0.02043332
201 0.0002748090    498 0.7251441 1.2017816 0.02043342
202 0.0002747687    499 0.7248693 1.2029079 0.02044082
203 0.0002733793    500 0.7245945 1.2028528 0.02042476
204 0.0002721299    505 0.7232124 1.2038599 0.02042591
205 0.0002720658    506 0.7229402 1.2046336 0.02042201
206 0.0002718878    508 0.7223961 1.2047902 0.02043057
207 0.0002713721    509 0.7221242 1.2049480 0.02043054
208 0.0002706362    511 0.7215815 1.2053424 0.02043695
209 0.0002693159    512 0.7213108 1.2061322 0.02044085
210 0.0002682747    514 0.7207722 1.2067542 0.02045471
211 0.0002676761    515 0.7205039 1.2073246 0.02045641
212 0.0002667837    516 0.7202363 1.2084213 0.02045901
213 0.0002667001    519 0.7194359 1.2092137 0.02046604
214 0.0002663377    521 0.7189025 1.2094340 0.02046807
215 0.0002653048    523 0.7183698 1.2095850 0.02046791
216 0.0002649556    524 0.7181045 1.2097681 0.02046836
217 0.0002648604    525 0.7178396 1.2098148 0.02046930
218 0.0002645351    527 0.7173098 1.2098238 0.02046936
219 0.0002641202    532 0.7159872 1.2097247 0.02046981
220 0.0002630265    535 0.7151948 1.2096571 0.02045034
221 0.0002620824    536 0.7149318 1.2100826 0.02045431
222 0.0002620735    537 0.7146697 1.2102869 0.02045596
223 0.0002618472    538 0.7144076 1.2102897 0.02045623
224 0.0002610448    539 0.7141458 1.2103151 0.02046439
225 0.0002609754    540 0.7138847 1.2104405 0.02046533
226 0.0002602240    542 0.7133628 1.2116325 0.02046930
227 0.0002592338    545 0.7125821 1.2123718 0.02045012
228 0.0002578417    546 0.7123229 1.2128878 0.02046077
229 0.0002573923    547 0.7120650 1.2141110 0.02046689
230 0.0002570722    548 0.7118076 1.2146809 0.02046906
231 0.0002566315    551 0.7110364 1.2147715 0.02046954
232 0.0002563835    552 0.7107798 1.2151140 0.02047353
233 0.0002558693    558 0.7092415 1.2152310 0.02047348
234 0.0002554706    559 0.7089856 1.2152232 0.02047431
235 0.0002552454    564 0.7076356 1.2151016 0.02047024
236 0.0002549382    565 0.7073804 1.2158113 0.02049117
237 0.0002546523    566 0.7071254 1.2160742 0.02049291
