term,estimate,std_error,t_value,p_value,percent_effect,dollar_effect
(Intercept),6.137906505725414,0.10638877310998904,57.69317876595679,0,46208.30935643553,1581040.062222799
log_days_in_nz,0.5009000071456149,0.006912452587197537,72.46342753559355,0,65.02057995679726,2224.7111658574463
accomm_staying_with_family_or_friends,-0.28004369533422097,0.015306322200356662,-18.295949325285697,3.1899641636202587e-74,-24.42492820459645,-835.710947797408
country_of_residence_united_states_of_america,0.26406502243022134,0.018312684044282202,14.419788043723212,6.377936859752199e-47,30.221286659338165,1034.0362070329347
age_range_50_54,0.5054003327773161,0.03881839838573345,13.0196080671649,1.3172692871446235e-38,65.76489988734463,2250.17843885869
maori_exp_none_of_these,-0.18069434420594713,0.01401847727248591,-12.88972694349594,7.064999317688224e-38,-16.530955231933543,-565.6147747560576
country_of_residence_england,0.2176947042616915,0.017282845552346517,12.595998940240182,2.968172185908342e-36,24.320746373577464,832.1463151395416
age_range_55_59,0.4752628390568974,0.038641747351052524,12.29920672942737,1.1906791138984234e-34,60.84369019701181,2081.7968256081804
age_range_40_44,0.4718370520010142,0.03936805246588811,11.98527797151903,5.3847047548775216e-33,60.29361672038493,2062.9757906942045
age_range_60_64,0.46071517643045934,0.03851192207423843,11.962923469318168,7.038002462188289e-33,58.520728257820934,2002.3155388000093
age_range_65_69,0.46615335929254026,0.03906552531341945,11.932601841460745,1.0112160323322512e-32,59.38514125315295,2031.8918551586946
age_range_45_49,0.4389608857512706,0.039489779249534396,11.115810067650509,1.253919134404318e-28,55.109461630054504,1885.5973710821668
visit_purpose_to_visit_family,-0.3222535804018813,0.0291875141121181,-11.040802555641001,2.8841255116873968e-28,-27.54855556302718,-942.5873962525893
accomm_luxury_accommodation_5_star_hotel_luxury_lodge,0.19284215308597707,0.018220853248193915,10.583596193833126,4.1063969882483553e-26,21.26913588221766,727.733959259499
visit_purpose_to_care_for_a_family_member_or_friend,-0.434810961403673,0.041811972464740346,-10.399197544921973,2.863539756481271e-25,-35.26129633519274,-1206.4826202970642
country_of_residence_germany,0.23448782824688352,0.023422839607507448,10.011076034168202,1.5312872839089726e-23,26.42610840683308,904.1823139981839
