response_id,departure_location,country_of_residence,country_of_residence_group,gender,first_nz_trip,arrival_location,arrival_date,no_days_in_nz,package_deal,age_range,travel_type,sustainability_considered,treated_spend,visit_purpose,arrival_month,arrival_year,arrival_season
GEN24_1086707,Christchurch,Australia,Australia,Male,No,Christchurch airport,2025-01-08,8,No,75 or older,Independent Traveller,Rarely,1136.999551,To visit family,1,2025,Summer
GEN24_1086715,Auckland,Canada,Canada,Male,No,Auckland airport,2024-12-14,33,No,65 - 69,Independent Traveller,Rarely,6669.259315,To visit family,12,2024,Summer
GEN24_1086716,Auckland,Ireland,Rest of Europe,Male,Yes,Auckland airport,2024-10-26,82,No,60 - 64,Independent Traveller,Most of the time,4475.602775,Holiday - Other,10,2024,Spring
GEN24_1086722,Auckland,England,UK,Male,Yes,Auckland airport,2025-01-01,15,Yes,35 - 39,Package,Most of the time,6200.393764,For your honeymoon,1,2025,Summer
GEN24_1086725,Auckland,United States of America,USA,Female,No,Auckland airport,2024-12-18,29,No,35 - 39,Independent Traveller,Not sure,5287.48,To visit family,12,2024,Summer
GEN24_1086731,Auckland,Finland,Rest of Europe,Male,Yes,Auckland airport,2025-01-02,14,No,30 - 34,Independent Traveller,Most of the time,11582.82292,For your honeymoon,1,2025,Summer
GEN24_1086739,Auckland,England,UK,Male,No,Auckland airport,2024-12-27,20,No,40 - 44,Independent Traveller,Sometimes,8484.95415,To visit friends,12,2024,Summer
GEN24_1086740,Auckland,Austria,Rest of Europe,Male,Yes,Auckland airport,2024-12-22,25,No,30 - 34,Tour Group,Always,4077.153667,To visit family,12,2024,Summer
GEN24_1086748,Auckland,Canada,Canada,Male,No,Auckland airport,2024-12-19,28,No,60 - 64,Tour Group,NA,5402.198267,To visit friends,12,2024,Summer
GEN24_1086758,Auckland,Italy,Rest of Europe,Female,Yes,Auckland airport,2024-12-28,19,Yes,50 - 54,Tour Group,Most of the time,6523.450033,Just for the holiday,12,2024,Summer
GEN24_1086760,Christchurch,England,UK,Female,Yes,Christchurch airport,2024-12-29,18,No,30 - 34,Independent Traveller,Sometimes,3815.456507,To visit family,12,2024,Summer
GEN24_1086767,Auckland,Japan,Japan,Female,Yes,Wellington airport,2025-01-08,8,No,30 - 34,Independent Traveller,Most of the time,2126.058667,Related to your job or business,1,2025,Summer
GEN24_1086778,Auckland,Australia,Australia,Male,No,Auckland airport,2025-01-10,7,No,60 - 64,Independent Traveller,NA,2664.23813,Business,1,2025,Summer
GEN24_1086798,Auckland,Japan,Japan,Female,No,Auckland airport,2025-01-02,14,No,50 - 54,Tour Group,Most of the time,1649.393983,To visit friends,1,2025,Summer
GEN24_1086813,Auckland,England,UK,Male,No,Auckland airport,2024-12-31,16,No,75 or older,Independent Traveller,Most of the time,1330.9732,To visit family,12,2024,Summer
GEN24_1086823,Auckland,Australia,Australia,Male,Yes,Auckland airport,2025-01-11,6,Yes,70 - 74,Package,Not sure,402.399452,To go sightseeing,1,2025,Summer
GEN24_1086833,Auckland,Australia,Australia,Female,Yes,Auckland airport,2025-01-04,13,No,50 - 54,Independent Traveller,Most of the time,4864.1692,To go sightseeing,1,2025,Summer
GEN24_1086839,Auckland,Australia,Australia,Female,No,Auckland airport,2024-12-19,29,No,65 - 69,Independent Traveller,Always,1774.630933,To visit family,12,2024,Summer
GEN24_1086843,Auckland,Australia,Australia,Female,No,Auckland airport,2024-12-17,31,No,55 - 59,Independent Traveller,Not sure,7005.2913,Just for the holiday,12,2024,Summer
GEN24_1086847,Auckland,Canada,Canada,Male,Yes,Auckland airport,2024-12-22,26,No,50 - 54,Tour Group,Most of the time,26052.10114,Holiday - Other,12,2024,Summer
GEN24_1086851,Auckland,Canada,Canada,Female,Yes,Auckland airport,2024-12-27,21,No,30 - 34,Independent Traveller,Sometimes,3008.042217,Just for the holiday,12,2024,Summer
GEN24_1086855,Auckland,Canada,Canada,Female,Yes,Wellington airport,2024-12-30,18,No,50 - 54,Independent Traveller,Always,2572.183038,To visit family,12,2024,Summer
GEN24_1086858,Auckland,Canada,Canada,Female,Yes,Auckland airport,2024-12-31,17,No,30 - 34,Independent Traveller,NA,5666.169318,To go sightseeing,12,2024,Summer
GEN24_1086861,Auckland,England,UK,Male,No,Wellington airport,2025-01-04,13,No,55 - 59,Independent Traveller,Always,3416.164547,Business,1,2025,Summer
GEN24_1086871,Auckland,Switzerland,Rest of Europe,Male,Yes,Christchurch airport,2024-12-14,34,No,30 - 34,Independent Traveller,Rarely,8087.590273,To go sightseeing,12,2024,Summer
GEN24_1086872,Auckland,Hong Kong (Special Administrative Region),Rest of Asia,Male,Yes,Auckland airport,2025-01-14,3,No,20 - 24,Independent Traveller,Never,1768,To go sightseeing,1,2025,Summer
GEN24_1086873,Auckland,England,UK,Female,No,Auckland airport,2024-12-18,30,No,25 - 29,Independent Traveller,Always,3216.518567,To visit friends,12,2024,Summer
GEN24_1086875,Auckland,Germany,Germany,Male,Yes,Auckland airport,2024-12-26,22,Yes,30 - 34,Package,Most of the time,7190.616467,Just for the holiday,12,2024,Summer
GEN24_1086876,Auckland,Netherlands,Rest of Europe,Female,No,Auckland airport,2024-12-23,25,No,55 - 59,Independent Traveller,Sometimes,7737.325708,To visit family,12,2024,Summer
GEN24_1086877,Auckland,Germany,Germany,Female,No,Christchurch airport,2024-12-06,42,Yes,55 - 59,Package,NA,14177.37525,Just for the holiday,12,2024,Summer
GEN24_1086878,Auckland,Scotland,UK,Male,Yes,Auckland airport,2024-12-19,29,No,60 - 64,Independent Traveller,Most of the time,3604.719083,"For a wedding, funeral, other family occasion",12,2024,Summer
GEN24_1086894,Auckland,Australia,Australia,Male,No,Auckland airport,2025-01-04,13,No,75 or older,Independent Traveller,Most of the time,1727.885559,"For a wedding, funeral, other family occasion",1,2025,Summer
GEN24_1086908,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-09,8,No,65 - 69,Independent Traveller,Never,3800,"For a wedding, funeral, other family occasion",1,2025,Summer
GEN24_1086917,Auckland,"China, People's Republic of",China,Male,No,Auckland airport,2024-12-04,44,Yes,20 - 24,Package,Never,6404,Other,12,2024,Summer
GEN24_1086932,Auckland,Australia,Australia,Male,No,Auckland airport,2024-12-21,28,No,55 - 59,Independent Traveller,Most of the time,6650,To visit family,12,2024,Summer
