response_id,experience_more_maori_culture,improve_maori_culture_understanding,enjoy_maori_culture_experience
GEN24_1000989,Disagree,NA,NA
GEN24_1000991,Agree,NA,NA
GEN24_1000992,Agree,Agree,Agree
GEN24_1000998,Don't know / Not sure,NA,NA
GEN24_1001001,Agree,NA,NA
GEN24_1001003,Disagree,Agree,Agree
GEN24_1001004,Agree,NA,NA
GEN24_1001011,Agree,NA,NA
GEN24_1001018,Don't know / Not sure,NA,NA
GEN24_1001020,Agree,NA,NA
GEN24_1001021,Don't know / Not sure,NA,NA
GEN24_1001023,Disagree,Disagree,NA
GEN24_1001027,Disagree,NA,NA
GEN24_1001038,Agree,Agree,Agree
GEN24_1001043,Agree,Agree,Agree
GEN24_1001047,Don't know / Not sure,Agree,Agree
GEN24_1001056,Agree,NA,NA
GEN24_1001059,Don't know / Not sure,NA,NA
GEN24_1001060,Don't know / Not sure,NA,NA
GEN24_1001061,Agree,NA,NA
GEN24_1001065,Agree,NA,NA
GEN24_1001068,Disagree,NA,NA
GEN24_1001069,Agree,NA,NA
GEN24_1001074,Agree,NA,NA
GEN24_1001077,Agree,NA,NA
GEN24_1001083,Don't know / Not sure,NA,NA
GEN24_1001088,Agree,NA,NA
GEN24_1001089,Agree,Agree,Agree
GEN24_1001090,Agree,NA,NA
GEN24_1001094,Agree,NA,NA
GEN24_1001100,Don't know / Not sure,NA,Agree
GEN24_1001106,Don't know / Not sure,NA,NA
GEN24_1001111,Don't know / Not sure,Disagree,NA
GEN24_1001112,Agree,NA,NA
GEN24_1001113,Disagree,Agree,Agree
GEN24_1001116,Agree,NA,NA
GEN24_1001119,Agree,NA,NA
GEN24_1001120,Agree,NA,NA
GEN24_1001125,Disagree,NA,NA
GEN24_1001130,Agree,NA,NA
GEN24_1001135,Agree,Agree,Agree
GEN24_1001139,Agree,NA,NA
GEN24_1001148,Don't know / Not sure,NA,NA
GEN24_1001151,Agree,NA,NA
GEN24_1001158,Agree,NA,NA
GEN24_1001160,Agree,Agree,Agree
GEN24_1001161,Don't know / Not sure,NA,NA
GEN24_1001164,Agree,NA,NA
GEN24_1001168,Agree,NA,NA
GEN24_1001169,Don't know / Not sure,NA,NA
GEN24_1001170,Agree,Agree,Agree
GEN24_1001176,Agree,NA,NA
GEN24_1001178,Agree,NA,NA
GEN24_1001182,Agree,NA,NA
GEN24_1001183,Agree,Agree,Agree
GEN24_1001187,Agree,Disagree,Agree
GEN24_1001188,Agree,NA,NA
GEN24_1001191,Don't know / Not sure,Agree,Agree
GEN24_1001192,Agree,NA,NA
GEN24_1001193,Disagree,NA,NA
GEN24_1001201,Agree,NA,Agree
GEN24_1001209,Agree,NA,NA
GEN24_1001221,Don't know / Not sure,NA,NA
GEN24_1001223,Agree,NA,NA
GEN24_1001226,Agree,NA,NA
GEN24_1001228,Agree,NA,NA
GEN24_1001230,Agree,NA,NA
GEN24_1001234,Don't know / Not sure,NA,NA
GEN24_1001235,Disagree,NA,NA
GEN24_1001237,Agree,NA,NA
GEN24_1001242,Agree,NA,NA
GEN24_1001245,Don't know / Not sure,NA,NA
GEN24_1001248,Disagree,NA,NA
GEN24_1001253,Agree,NA,NA
GEN24_1001256,Agree,NA,NA
GEN24_1001257,Agree,NA,NA
GEN24_1001258,Agree,NA,NA
GEN24_1001262,Don't know / Not sure,NA,NA
GEN24_1001263,Agree,NA,NA
GEN24_1001267,Don't know / Not sure,NA,NA
GEN24_1001272,Agree,NA,NA
GEN24_1001277,Disagree,NA,NA
GEN24_1001281,Agree,NA,NA
GEN24_1001282,Disagree,NA,NA
GEN24_1001297,Don't know / Not sure,NA,NA
GEN24_1001313,Agree,Agree,Agree
GEN24_1001315,Agree,NA,NA
GEN24_1001316,Agree,NA,NA
GEN24_1001317,Agree,NA,NA
GEN24_1001325,Agree,NA,NA
GEN24_1001332,Agree,NA,NA
GEN24_1001336,Agree,NA,NA
GEN24_1001338,Disagree,NA,NA
GEN24_1001350,Agree,Disagree,Agree
GEN24_1001355,Agree,NA,NA
GEN24_1001362,Agree,NA,NA
GEN24_1001367,Disagree,NA,NA
GEN24_1001370,Agree,Agree,Agree
GEN24_1001385,Don't know / Not sure,NA,NA
GEN24_1001386,Agree,Agree,Agree
GEN24_1001388,Agree,NA,NA
GEN24_1001403,Don't know / Not sure,NA,NA
GEN24_1001406,Don't know / Not sure,NA,NA
GEN24_1001407,Agree,NA,NA
GEN24_1001411,Agree,NA,NA
GEN24_1001412,Disagree,NA,NA
GEN24_1001417,Agree,NA,NA
GEN24_1001423,Don't know / Not sure,NA,NA
GEN24_1001428,Disagree,NA,NA
GEN24_1001429,Agree,NA,NA
GEN24_1001431,Agree,NA,NA
GEN24_1001432,Agree,NA,NA
GEN24_1001434,Agree,Agree,Agree
GEN24_1001440,Agree,NA,NA
GEN24_1001446,Disagree,NA,NA
GEN24_1001447,Agree,NA,NA
GEN24_1001450,Don't know / Not sure,NA,NA
GEN24_1001458,Agree,NA,NA
GEN24_1001461,Agree,NA,NA
GEN24_1001465,Agree,Agree,Agree
GEN24_1001478,Don't know / Not sure,NA,NA
GEN24_1001481,Agree,NA,NA
GEN24_1001485,Disagree,NA,NA
GEN24_1001488,Disagree,NA,NA
GEN24_1001493,Agree,NA,NA
GEN24_1001507,Agree,NA,NA
GEN24_1001511,Agree,Agree,Agree
GEN24_1001514,Agree,NA,NA
GEN24_1001515,Agree,NA,NA
GEN24_1001519,Disagree,NA,NA
GEN24_1001520,Don't know / Not sure,NA,NA
GEN24_1001524,Disagree,NA,Disagree
GEN24_1001526,Don't know / Not sure,NA,NA
GEN24_1001527,Agree,Agree,Agree
GEN24_1001534,Disagree,NA,NA
GEN24_1001540,Agree,Agree,Agree
GEN24_1001542,Disagree,NA,NA
GEN24_1001543,Don't know / Not sure,NA,NA
GEN24_1001547,Agree,Agree,Agree
GEN24_1001548,Agree,NA,NA
GEN24_1001552,Agree,Disagree,Agree
GEN24_1001557,Don't know / Not sure,NA,NA
GEN24_1001558,Agree,NA,NA
GEN24_1001560,Don't know / Not sure,NA,NA
GEN24_1001562,Don't know / Not sure,NA,NA
GEN24_1001566,Agree,NA,NA
GEN24_1001569,Don't know / Not sure,NA,NA
GEN24_1001571,Disagree,NA,NA
GEN24_1001572,Don't know / Not sure,NA,NA
GEN24_1001579,Agree,NA,NA
GEN24_1001587,Disagree,NA,NA
GEN24_1001592,Agree,NA,NA
GEN24_1001595,Don't know / Not sure,NA,NA
GEN24_1001600,Don't know / Not sure,NA,NA
GEN24_1001610,Agree,NA,NA
GEN24_1001613,Agree,NA,NA
GEN24_1001615,Don't know / Not sure,NA,NA
GEN24_1001622,Agree,NA,NA
GEN24_1001623,Don't know / Not sure,Agree,Agree
GEN24_1001624,Don't know / Not sure,NA,NA
GEN24_1001637,Disagree,NA,NA
GEN24_1001641,Agree,NA,NA
GEN24_1001646,Agree,NA,NA
GEN24_1001651,Agree,Agree,Agree
GEN24_1001659,Agree,NA,NA
GEN24_1001666,Agree,NA,NA
GEN24_1001667,Agree,Agree,Agree
GEN24_1001669,Disagree,NA,NA
GEN24_1001670,Don't know / Not sure,NA,NA
GEN24_1001671,Agree,NA,NA
GEN24_1001675,Disagree,NA,NA
GEN24_1001681,Don't know / Not sure,NA,NA
GEN24_1001683,Agree,NA,NA
GEN24_1001688,Disagree,NA,NA
GEN24_1001693,Disagree,NA,NA
GEN24_1001696,Agree,Agree,Agree
GEN24_1001697,Don't know / Not sure,NA,NA
