response_id,experience_more_maori_culture,improve_maori_culture_understanding,enjoy_maori_culture_experience
GEN24_1021334,Agree,NA,NA
GEN24_1021344,Agree,NA,NA
GEN24_1021347,Agree,NA,NA
GEN24_1021348,Don't know / Not sure,NA,NA
GEN24_1021350,Agree,Agree,Agree
GEN24_1021352,Don't know / Not sure,NA,NA
GEN24_1021356,Disagree,NA,NA
GEN24_1021362,Agree,NA,NA
GEN24_1021363,Agree,NA,NA
GEN24_1021365,Agree,Agree,Agree
GEN24_1021373,Agree,Agree,Agree
GEN24_1021383,Agree,NA,NA
GEN24_1021384,Don't know / Not sure,NA,NA
GEN24_1021396,Disagree,NA,NA
GEN24_1021401,Disagree,Agree,Agree
GEN24_1021403,Don't know / Not sure,NA,NA
GEN24_1021405,Don't know / Not sure,Agree,Agree
GEN24_1021406,Don't know / Not sure,Agree,Agree
GEN24_1021408,Don't know / Not sure,NA,NA
GEN24_1021409,Agree,NA,NA
GEN24_1021413,Agree,NA,NA
GEN24_1021419,Agree,NA,NA
GEN24_1021420,Agree,Agree,Agree
GEN24_1021428,Disagree,Agree,Agree
GEN24_1021430,Agree,NA,Agree
GEN24_1021434,Agree,Agree,Agree
GEN24_1021446,Don't know / Not sure,NA,NA
GEN24_1021460,Don't know / Not sure,NA,NA
GEN24_1021462,Agree,Agree,Agree
GEN24_1021468,Disagree,NA,NA
GEN24_1021482,Don't know / Not sure,NA,NA
GEN24_1021485,Disagree,NA,NA
GEN24_1021488,Agree,NA,NA
GEN24_1021491,Agree,NA,NA
GEN24_1021492,Agree,NA,Agree
GEN24_1021495,Don't know / Not sure,NA,NA
GEN24_1021496,Agree,NA,NA
GEN24_1021498,Agree,NA,NA
GEN24_1021501,Agree,Agree,Agree
GEN24_1021505,Agree,NA,NA
GEN24_1021514,Agree,NA,NA
GEN24_1021516,Disagree,Agree,Agree
GEN24_1021517,Disagree,NA,NA
GEN24_1021518,Agree,Agree,Agree
GEN24_1021520,Disagree,Disagree,Disagree
GEN24_1021521,Agree,Agree,Agree
GEN24_1021534,Disagree,NA,NA
GEN24_1021539,Don't know / Not sure,Agree,Agree
GEN24_1021540,Agree,Agree,Agree
GEN24_1021542,Don't know / Not sure,Agree,Agree
GEN24_1021545,Disagree,NA,NA
GEN24_1021546,Agree,NA,NA
GEN24_1021548,Disagree,NA,NA
GEN24_1021552,Disagree,NA,NA
GEN24_1021555,Agree,Agree,Agree
GEN24_1021558,Disagree,NA,NA
GEN24_1021561,Disagree,Agree,Agree
GEN24_1021563,Agree,Agree,Agree
GEN24_1021565,Disagree,Disagree,Disagree
GEN24_1021567,Agree,NA,NA
GEN24_1021569,Don't know / Not sure,NA,NA
GEN24_1021574,Agree,Agree,Agree
GEN24_1021580,Disagree,NA,NA
GEN24_1021586,Disagree,Agree,Agree
GEN24_1021594,Don't know / Not sure,NA,NA
GEN24_1021601,Agree,NA,NA
GEN24_1021604,Agree,Agree,Agree
GEN24_1021607,Agree,NA,NA
GEN24_1021614,Agree,NA,NA
GEN24_1021616,Disagree,Agree,Agree
GEN24_1021620,Agree,Agree,Agree
GEN24_1021636,Agree,Agree,Agree
GEN24_1021643,Agree,NA,Agree
GEN24_1021644,Disagree,NA,NA
GEN24_1021653,Agree,NA,NA
GEN24_1021657,Don't know / Not sure,Agree,Agree
GEN24_1021658,Don't know / Not sure,Agree,Agree
GEN24_1021666,Don't know / Not sure,Agree,Agree
GEN24_1021668,Don't know / Not sure,NA,NA
GEN24_1021672,Disagree,NA,NA
GEN24_1021680,Agree,Agree,Agree
GEN24_1021686,Don't know / Not sure,NA,NA
GEN24_1021689,Don't know / Not sure,Agree,Agree
GEN24_1021691,Don't know / Not sure,NA,NA
GEN24_1021694,Don't know / Not sure,NA,Agree
GEN24_1021702,Agree,Agree,Agree
GEN24_1021705,Agree,NA,NA
GEN24_1021708,Disagree,NA,NA
GEN24_1021710,Don't know / Not sure,Agree,Agree
GEN24_1021712,Don't know / Not sure,NA,NA
GEN24_1021715,Disagree,NA,NA
GEN24_1021716,Don't know / Not sure,Agree,Agree
GEN24_1021717,Agree,NA,NA
GEN24_1021719,Agree,Agree,Agree
GEN24_1021725,Don't know / Not sure,NA,NA
GEN24_1021729,Agree,Agree,Agree
GEN24_1021732,Don't know / Not sure,NA,NA
GEN24_1021739,Agree,NA,NA
GEN24_1021750,Don't know / Not sure,NA,NA
GEN24_1021751,Agree,NA,Agree
GEN24_1021752,Agree,NA,NA
GEN24_1021757,Agree,Agree,Agree
GEN24_1021761,Agree,NA,NA
GEN24_1021766,Agree,NA,NA
GEN24_1021769,Agree,Agree,Agree
GEN24_1021773,Agree,Agree,Agree
GEN24_1021776,Disagree,Agree,Agree
GEN24_1021780,Agree,NA,NA
GEN24_1021783,Disagree,NA,NA
GEN24_1021791,Agree,Agree,Agree
GEN24_1021793,Don't know / Not sure,NA,NA
GEN24_1021795,Don't know / Not sure,NA,NA
GEN24_1021800,Disagree,NA,NA
GEN24_1021806,Agree,Agree,Agree
GEN24_1021815,Agree,Agree,Agree
GEN24_1021821,Disagree,Agree,Agree
GEN24_1021822,Agree,Agree,Agree
GEN24_1021823,Agree,NA,NA
GEN24_1021825,Agree,NA,Agree
GEN24_1021826,Agree,Agree,Agree
GEN24_1021833,Don't know / Not sure,NA,NA
GEN24_1021840,Don't know / Not sure,Agree,Agree
GEN24_1021841,Agree,NA,NA
GEN24_1021846,Agree,NA,NA
GEN24_1021847,Don't know / Not sure,NA,NA
GEN24_1021851,Agree,NA,NA
GEN24_1021856,Disagree,Agree,Agree
GEN24_1021858,Agree,Agree,Agree
GEN24_1021862,Disagree,NA,NA
GEN24_1021869,Don't know / Not sure,NA,NA
GEN24_1021871,Agree,NA,NA
GEN24_1021874,Agree,Agree,Agree
GEN24_1021879,Agree,NA,NA
GEN24_1021882,Agree,Agree,Agree
GEN24_1021887,Don't know / Not sure,NA,NA
GEN24_1021892,Disagree,NA,NA
GEN24_1021894,Disagree,Agree,Agree
GEN24_1021897,Agree,NA,Agree
GEN24_1021898,Don't know / Not sure,NA,NA
GEN24_1021901,Disagree,NA,NA
GEN24_1021902,Agree,Agree,Agree
GEN24_1021909,Disagree,Disagree,Agree
GEN24_1021911,Don't know / Not sure,Agree,Agree
GEN24_1021913,Agree,NA,NA
GEN24_1021919,Agree,NA,NA
GEN24_1021925,Agree,NA,NA
GEN24_1021932,Agree,NA,NA
GEN24_1021942,Agree,NA,NA
GEN24_1021953,Agree,NA,NA
GEN24_1021964,Agree,NA,NA
GEN24_1021965,Agree,NA,NA
GEN24_1021968,Don't know / Not sure,NA,NA
GEN24_1021973,Agree,NA,NA
GEN24_1021982,Agree,Agree,Agree
GEN24_1021984,Agree,Agree,Agree
GEN24_1021985,Agree,Agree,Agree
GEN24_1021986,Disagree,Disagree,Agree
GEN24_1021989,Agree,Agree,Agree
GEN24_1021990,Disagree,NA,NA
GEN24_1021992,Agree,Agree,Agree
GEN24_1021994,Don't know / Not sure,NA,NA
GEN24_1022000,Don't know / Not sure,NA,NA
GEN24_1022005,Disagree,NA,NA
GEN24_1022006,Agree,Agree,Agree
GEN24_1022007,Agree,NA,NA
GEN24_1022010,Don't know / Not sure,Agree,Agree
GEN24_1022011,Agree,NA,NA
GEN24_1022016,Agree,NA,NA
GEN24_1022020,Disagree,NA,NA
GEN24_1022026,Don't know / Not sure,NA,NA
GEN24_1022030,Disagree,Agree,Agree
GEN24_1022033,Agree,NA,NA
GEN24_1022034,Agree,NA,NA
GEN24_1022036,Agree,NA,NA
GEN24_1022051,Agree,NA,Agree
GEN24_1022056,Don't know / Not sure,NA,NA
GEN24_1022058,Disagree,NA,NA
GEN24_1022062,Don't know / Not sure,NA,NA
GEN24_1022063,Agree,NA,NA
GEN24_1022066,Agree,NA,NA
GEN24_1022068,Don't know / Not sure,NA,NA
GEN24_1022070,Don't know / Not sure,NA,Agree
GEN24_1022072,Don't know / Not sure,NA,NA
GEN24_1022075,Agree,Agree,Agree
GEN24_1022077,Don't know / Not sure,NA,NA
GEN24_1022079,Agree,NA,NA
GEN24_1022080,Agree,Agree,Agree
GEN24_1022082,Agree,NA,NA
GEN24_1022083,Agree,Agree,Agree
GEN24_1022088,Agree,NA,NA
GEN24_1022090,Agree,Agree,Agree
GEN24_1022094,Disagree,Agree,NA
GEN24_1022095,Agree,Agree,Agree
GEN24_1022099,Agree,NA,NA
GEN24_1022100,Agree,NA,NA
GEN24_1022104,Agree,Agree,Agree
GEN24_1022107,Agree,NA,NA
GEN24_1022113,Don't know / Not sure,NA,NA
GEN24_1022118,Disagree,NA,NA
GEN24_1022120,Disagree,Agree,Agree
GEN24_1022127,Agree,Agree,Agree
GEN24_1022135,Agree,Agree,Agree
GEN24_1022139,Agree,Agree,Agree
GEN24_1022142,Agree,NA,NA
GEN24_1022153,Don't know / Not sure,NA,NA
GEN24_1022154,Disagree,NA,NA
GEN24_1022156,Agree,Agree,Agree
GEN24_1022159,Agree,NA,NA
GEN24_1022163,Agree,NA,NA
GEN24_1022165,Disagree,NA,NA
GEN24_1022175,Don't know / Not sure,NA,NA
GEN24_1022180,Agree,Agree,Agree
GEN24_1022181,Agree,NA,NA
GEN24_1022183,Don't know / Not sure,Agree,NA
GEN24_1022186,Agree,NA,NA
GEN24_1022192,Agree,NA,NA
GEN24_1022195,Agree,Agree,Agree
GEN24_1022196,Agree,NA,NA
GEN24_1022197,Agree,NA,NA
GEN24_1022202,Don't know / Not sure,Agree,Agree
GEN24_1022203,Disagree,NA,NA
GEN24_1022206,Disagree,NA,NA
GEN24_1022208,Agree,NA,NA
GEN24_1022210,Agree,NA,NA
GEN24_1022214,Disagree,NA,NA
GEN24_1022219,Agree,NA,NA
GEN24_1022220,Agree,Agree,Agree
GEN24_1022224,Disagree,NA,NA
GEN24_1022227,Disagree,NA,NA
GEN24_1022235,Agree,NA,NA
GEN24_1022238,Agree,NA,NA
GEN24_1022244,Disagree,NA,NA
GEN24_1022246,Disagree,NA,NA
GEN24_1022247,Don't know / Not sure,NA,NA
GEN24_1022248,Don't know / Not sure,NA,NA
GEN24_1022250,Disagree,NA,NA
GEN24_1022254,Disagree,NA,NA
GEN24_1022260,Agree,Agree,Agree
GEN24_1022265,Agree,Agree,Agree
GEN24_1022275,Don't know / Not sure,NA,NA
GEN24_1022280,Don't know / Not sure,Agree,NA
GEN24_1022281,Disagree,NA,NA
GEN24_1022287,Don't know / Not sure,NA,NA
GEN24_1022288,Agree,NA,NA
GEN24_1022289,Agree,NA,NA
GEN24_1022290,Agree,Agree,Agree
GEN24_1022293,Agree,Agree,Agree
GEN24_1022294,Agree,NA,NA
GEN24_1022298,Disagree,NA,NA
GEN24_1022300,Don't know / Not sure,NA,NA
GEN24_1022306,Don't know / Not sure,Agree,Agree
GEN24_1022310,Agree,NA,NA
GEN24_1022313,Agree,Agree,Agree
GEN24_1022318,Don't know / Not sure,NA,NA
GEN24_1022320,Agree,Agree,Agree
GEN24_1022322,Don't know / Not sure,NA,NA
GEN24_1022323,Agree,NA,NA
GEN24_1022324,Agree,Agree,Agree
GEN24_1022327,Disagree,Agree,Agree
GEN24_1022328,Agree,Agree,Agree
GEN24_1022330,Agree,Agree,Agree
GEN24_1022331,Agree,NA,NA
GEN24_1022333,Agree,Agree,Agree
GEN24_1022334,Don't know / Not sure,Agree,Agree
GEN24_1022335,Agree,NA,NA
GEN24_1022339,Agree,NA,NA
GEN24_1022340,Don't know / Not sure,Agree,Agree
GEN24_1022345,Agree,NA,NA
GEN24_1022357,Agree,NA,NA
GEN24_1022358,Disagree,NA,NA
GEN24_1022365,Disagree,Agree,Agree
GEN24_1022377,Don't know / Not sure,NA,NA
GEN24_1022386,Don't know / Not sure,NA,NA
GEN24_1022388,Disagree,Agree,Agree
GEN24_1022398,Agree,Agree,Agree
GEN24_1022402,Agree,Agree,Agree
GEN24_1022404,Agree,NA,NA
GEN24_1022411,Agree,NA,NA
GEN24_1022415,Agree,Agree,Agree
GEN24_1022418,Agree,NA,NA
GEN24_1022422,Agree,Agree,Agree
GEN24_1022423,Don't know / Not sure,NA,NA
GEN24_1022424,Agree,NA,NA
GEN24_1022425,Disagree,NA,NA
GEN24_1022426,Agree,Agree,Agree
GEN24_1022436,Agree,Agree,Agree
GEN24_1022437,Agree,Agree,Agree
GEN24_1022438,Disagree,NA,NA
GEN24_1022440,Don't know / Not sure,Agree,Agree
GEN24_1022442,Don't know / Not sure,Agree,Agree
GEN24_1022443,Don't know / Not sure,Agree,Agree
GEN24_1022460,Agree,Agree,Agree
GEN24_1022462,Don't know / Not sure,Agree,Agree
GEN24_1022463,Don't know / Not sure,NA,Agree
GEN24_1022466,Agree,Agree,Agree
GEN24_1022468,Disagree,NA,NA
GEN24_1022476,Agree,Agree,Agree
GEN24_1022477,Agree,Agree,Agree
GEN24_1022480,Agree,Agree,Agree
GEN24_1022481,Don't know / Not sure,NA,NA
GEN24_1022482,Agree,Agree,Agree
GEN24_1022484,Disagree,Agree,Agree
GEN24_1022485,Agree,Agree,Agree
GEN24_1022489,Don't know / Not sure,NA,NA
GEN24_1022491,Don't know / Not sure,Agree,Agree
GEN24_1022494,Agree,Agree,Agree
GEN24_1022500,Agree,Agree,Agree
GEN24_1022501,Disagree,NA,NA
GEN24_1022503,Disagree,NA,NA
GEN24_1022509,Agree,Agree,Agree
GEN24_1022510,Agree,Agree,Agree
GEN24_1022511,Agree,NA,NA
GEN24_1022513,Disagree,NA,NA
GEN24_1022515,Don't know / Not sure,NA,NA
GEN24_1022519,Disagree,NA,NA
GEN24_1022520,Agree,Disagree,Disagree
GEN24_1022522,Agree,NA,NA
GEN24_1022523,Disagree,NA,NA
GEN24_1022528,Agree,NA,NA
GEN24_1022531,Agree,Agree,Agree
GEN24_1022537,Don't know / Not sure,NA,NA
GEN24_1022543,Don't know / Not sure,NA,NA
GEN24_1022544,Agree,NA,NA
GEN24_1022545,Don't know / Not sure,NA,NA
GEN24_1022547,Don't know / Not sure,Agree,Agree
GEN24_1022549,Agree,NA,Agree
GEN24_1022554,Agree,Agree,Agree
GEN24_1022555,Agree,Agree,Agree
GEN24_1022556,Disagree,Agree,Agree
GEN24_1022557,Agree,Agree,Agree
GEN24_1022558,Agree,Agree,Agree
GEN24_1022562,Disagree,Agree,Agree
GEN24_1022563,Don't know / Not sure,NA,NA
GEN24_1022566,Disagree,Agree,Agree
GEN24_1022568,Don't know / Not sure,NA,NA
GEN24_1022571,Don't know / Not sure,NA,NA
GEN24_1022577,Disagree,Agree,Agree
GEN24_1022582,Agree,Agree,Agree
GEN24_1022590,Don't know / Not sure,NA,NA
GEN24_1022605,Don't know / Not sure,NA,NA
GEN24_1022607,Agree,Agree,Agree
GEN24_1022618,Agree,Agree,Agree
GEN24_1022622,Agree,Disagree,Agree
GEN24_1022624,Agree,Agree,Agree
GEN24_1022626,Don't know / Not sure,NA,NA
GEN24_1022629,Don't know / Not sure,NA,NA
GEN24_1022630,Agree,NA,NA
GEN24_1022633,Agree,Agree,Agree
GEN24_1022645,Agree,Agree,Agree
GEN24_1022646,Agree,Agree,Agree
GEN24_1022647,Agree,Agree,Agree
GEN24_1022655,Agree,NA,NA
GEN24_1022660,Agree,Agree,Agree
GEN24_1022661,Agree,Agree,Agree
GEN24_1022681,Disagree,NA,NA
GEN24_1022684,Don't know / Not sure,NA,NA
GEN24_1022687,Disagree,NA,NA
GEN24_1022688,Don't know / Not sure,Agree,Agree
GEN24_1022701,Agree,NA,NA
GEN24_1022704,Don't know / Not sure,Agree,Agree
GEN24_1022714,Don't know / Not sure,NA,NA
GEN24_1022718,Don't know / Not sure,NA,NA
GEN24_1022723,Agree,NA,NA
GEN24_1022726,Disagree,Agree,Agree
GEN24_1022727,Disagree,NA,NA
GEN24_1022729,Don't know / Not sure,Agree,Agree
GEN24_1022731,Don't know / Not sure,Agree,Agree
GEN24_1022732,Agree,NA,NA
GEN24_1022736,Don't know / Not sure,NA,NA
GEN24_1022738,Don't know / Not sure,NA,NA
GEN24_1022739,Agree,NA,NA
GEN24_1022740,Agree,NA,NA
GEN24_1022742,Don't know / Not sure,NA,NA
GEN24_1022747,Agree,Agree,Agree
GEN24_1022752,Don't know / Not sure,NA,NA
GEN24_1022755,Agree,Agree,Agree
GEN24_1022758,Disagree,NA,NA
GEN24_1022761,Don't know / Not sure,NA,NA
GEN24_1022770,Disagree,Agree,Agree
GEN24_1022772,Disagree,NA,NA
GEN24_1022775,Agree,Agree,Agree
GEN24_1022782,Disagree,NA,NA
GEN24_1022783,Don't know / Not sure,NA,NA
GEN24_1022786,Agree,Agree,Agree
GEN24_1022787,Disagree,NA,NA
GEN24_1022789,Agree,Agree,Agree
GEN24_1022790,Agree,NA,NA
GEN24_1022791,Don't know / Not sure,NA,NA
GEN24_1022792,Agree,Agree,Agree
GEN24_1022795,Agree,Agree,Agree
GEN24_1022804,Agree,NA,NA
GEN24_1022808,Agree,Agree,Agree
GEN24_1022809,Agree,NA,NA
GEN24_1022810,Disagree,NA,NA
GEN24_1022813,Agree,NA,NA
GEN24_1022817,Agree,NA,NA
GEN24_1022819,Agree,NA,NA
GEN24_1022821,Don't know / Not sure,NA,NA
GEN24_1022833,Agree,NA,NA
GEN24_1022837,Don't know / Not sure,NA,NA
GEN24_1022839,Don't know / Not sure,NA,NA
GEN24_1022846,Disagree,NA,NA
GEN24_1022849,Agree,Agree,Agree
GEN24_1022854,Don't know / Not sure,Agree,Agree
GEN24_1022858,Don't know / Not sure,NA,NA
GEN24_1022860,Agree,NA,NA
GEN24_1022867,Don't know / Not sure,NA,NA
GEN24_1022868,Disagree,NA,NA
GEN24_1022869,Agree,NA,NA
GEN24_1022887,Don't know / Not sure,NA,NA
GEN24_1022888,Agree,NA,NA
GEN24_1022892,Disagree,NA,NA
GEN24_1022893,Don't know / Not sure,NA,NA
GEN24_1022896,Agree,Agree,Agree
GEN24_1022899,Don't know / Not sure,NA,Agree
GEN24_1022901,Agree,NA,NA
GEN24_1022903,Disagree,NA,NA
GEN24_1022906,Agree,NA,NA
GEN24_1022907,Agree,Agree,NA
GEN24_1022908,Disagree,NA,NA
GEN24_1022912,Agree,Agree,Agree
GEN24_1022914,Agree,NA,NA
GEN24_1022918,Agree,NA,NA
GEN24_1022921,Don't know / Not sure,NA,NA
GEN24_1022926,Agree,NA,NA
GEN24_1022931,Agree,Agree,Agree
GEN24_1022933,Don't know / Not sure,Agree,NA
GEN24_1022938,Agree,NA,NA
GEN24_1022940,Agree,NA,NA
GEN24_1022946,Disagree,NA,NA
GEN24_1022948,Agree,Agree,Agree
GEN24_1022949,Disagree,NA,NA
GEN24_1022952,Disagree,NA,NA
GEN24_1022955,Agree,Agree,Agree
GEN24_1022957,Agree,NA,NA
GEN24_1022974,Agree,Agree,Agree
GEN24_1022980,Disagree,NA,NA
GEN24_1022982,Agree,Agree,Agree
GEN24_1023004,Agree,Agree,Agree
GEN24_1023007,Agree,Agree,Agree
GEN24_1023008,Agree,NA,NA
GEN24_1023015,Agree,Agree,Agree
GEN24_1023024,Disagree,NA,NA
GEN24_1023032,Don't know / Not sure,NA,NA
GEN24_1023033,Disagree,NA,NA
GEN24_1023034,Don't know / Not sure,NA,NA
GEN24_1023039,Don't know / Not sure,NA,NA
GEN24_1023040,Agree,NA,NA
GEN24_1023044,Don't know / Not sure,NA,NA
GEN24_1023050,Disagree,NA,NA
GEN24_1023051,Agree,NA,NA
GEN24_1023057,Agree,NA,NA
GEN24_1023059,Agree,Agree,Agree
GEN24_1023062,Agree,NA,NA
GEN24_1023063,Don't know / Not sure,Agree,Agree
GEN24_1023066,Agree,NA,NA
GEN24_1023069,Disagree,Disagree,Disagree
GEN24_1023075,Don't know / Not sure,NA,NA
GEN24_1023083,Agree,NA,NA
GEN24_1023089,Don't know / Not sure,Agree,Agree
GEN24_1023092,Don't know / Not sure,NA,NA
GEN24_1023101,Agree,Agree,Agree
GEN24_1023104,Agree,NA,NA
GEN24_1023115,Disagree,NA,NA
GEN24_1023120,Agree,NA,NA
GEN24_1023121,Agree,Disagree,NA
GEN24_1023133,Agree,NA,Agree
GEN24_1023142,Agree,Agree,Agree
GEN24_1023146,Disagree,NA,NA
GEN24_1023147,Agree,NA,NA
GEN24_1023149,Don't know / Not sure,NA,NA
GEN24_1023152,Don't know / Not sure,Agree,Agree
GEN24_1023154,Agree,NA,NA
GEN24_1023158,Don't know / Not sure,Disagree,Agree
GEN24_1023159,Don't know / Not sure,Agree,Agree
GEN24_1023163,Don't know / Not sure,NA,NA
GEN24_1023166,Don't know / Not sure,NA,NA
GEN24_1023167,Agree,NA,NA
GEN24_1023172,Don't know / Not sure,NA,NA
GEN24_1023176,Agree,Agree,Agree
GEN24_1023180,Disagree,NA,NA
GEN24_1023206,Disagree,NA,NA
GEN24_1023220,Agree,Agree,Agree
GEN24_1023223,Agree,NA,NA
GEN24_1023225,Agree,NA,NA
GEN24_1023233,Agree,Agree,NA
GEN24_1023235,Don't know / Not sure,Agree,Agree
GEN24_1023239,Disagree,Agree,Agree
GEN24_1023241,Disagree,Agree,Agree
GEN24_1023244,Disagree,Agree,Agree
GEN24_1023246,Agree,NA,NA
GEN24_1023248,Don't know / Not sure,NA,NA
GEN24_1023255,Disagree,NA,NA
GEN24_1023259,Disagree,NA,NA
GEN24_1023263,Agree,NA,NA
GEN24_1023268,Agree,Agree,Agree
GEN24_1023283,Don't know / Not sure,NA,NA
GEN24_1023284,Disagree,NA,NA
GEN24_1023286,Agree,NA,NA
GEN24_1023288,Don't know / Not sure,NA,NA
GEN24_1023290,Don't know / Not sure,NA,NA
GEN24_1023292,Agree,NA,NA
GEN24_1023296,Agree,Disagree,Agree
GEN24_1023302,Agree,Agree,Agree
GEN24_1023307,Don't know / Not sure,NA,NA
GEN24_1023311,Agree,Agree,Agree
GEN24_1023314,Agree,Agree,Agree
GEN24_1023321,Disagree,Agree,Agree
GEN24_1023330,Don't know / Not sure,NA,NA
GEN24_1023339,Disagree,NA,NA
GEN24_1023344,Agree,Agree,Agree
GEN24_1023349,Disagree,NA,Agree
GEN24_1023350,Agree,NA,NA
GEN24_1023352,Disagree,Agree,Agree
GEN24_1023353,Disagree,NA,NA
GEN24_1023358,Agree,Agree,Agree
GEN24_1023359,Agree,NA,NA
GEN24_1023360,Agree,NA,NA
GEN24_1023361,Agree,Agree,Agree
GEN24_1023363,Agree,NA,NA
GEN24_1023367,Agree,Agree,Agree
GEN24_1023368,Disagree,NA,NA
GEN24_1023369,Disagree,Agree,Agree
GEN24_1023371,Agree,Agree,Agree
GEN24_1023397,Agree,Agree,Agree
GEN24_1023399,Agree,Agree,Agree
GEN24_1023400,Don't know / Not sure,NA,NA
GEN24_1023402,Don't know / Not sure,NA,NA
GEN24_1023405,Disagree,Agree,Agree
GEN24_1023409,Don't know / Not sure,NA,NA
GEN24_1023417,Agree,NA,NA
GEN24_1023419,Agree,NA,NA
GEN24_1023420,Agree,NA,NA
GEN24_1023422,Disagree,Agree,Agree
GEN24_1023424,Disagree,NA,NA
GEN24_1023425,Agree,Agree,Agree
GEN24_1023428,Agree,NA,NA
GEN24_1023429,Don't know / Not sure,NA,NA
GEN24_1023441,Agree,Agree,Agree
GEN24_1023442,Don't know / Not sure,Agree,Agree
GEN24_1023452,Agree,Agree,Agree
GEN24_1023461,Agree,Agree,Agree
GEN24_1023482,Agree,Agree,Agree
GEN24_1023489,Agree,Agree,Agree
GEN24_1023500,Agree,Agree,Agree
GEN24_1023507,Disagree,NA,NA
GEN24_1023509,Disagree,NA,NA
GEN24_1023519,Agree,Agree,Agree
GEN24_1023520,Agree,Agree,Agree
GEN24_1023526,Agree,NA,NA
GEN24_1023536,Agree,NA,NA
GEN24_1023551,Agree,Agree,Agree
GEN24_1023559,Disagree,Agree,Agree
GEN24_1023564,Agree,Agree,Agree
GEN24_1023566,Agree,NA,NA
GEN24_1023569,Don't know / Not sure,NA,NA
GEN24_1023577,Agree,Agree,Agree
GEN24_1023580,Disagree,NA,NA
GEN24_1023581,Disagree,Agree,NA
GEN24_1023586,Don't know / Not sure,NA,NA
GEN24_1023591,Agree,NA,NA
GEN24_1023597,Agree,NA,NA
GEN24_1023598,Disagree,NA,NA
GEN24_1023601,Agree,NA,NA
GEN24_1023602,Don't know / Not sure,NA,NA
GEN24_1023603,Disagree,NA,NA
GEN24_1023604,Agree,Agree,Agree
GEN24_1023605,Disagree,NA,NA
GEN24_1023606,Disagree,NA,NA
GEN24_1023607,Disagree,NA,NA
GEN24_1023615,Don't know / Not sure,NA,NA
GEN24_1023616,Agree,Agree,Agree
GEN24_1023618,Disagree,NA,NA
GEN24_1023622,Agree,NA,NA
GEN24_1023623,Agree,Agree,Agree
GEN24_1023624,Disagree,NA,NA
GEN24_1023625,Don't know / Not sure,NA,NA
GEN24_1023628,Disagree,Agree,Agree
GEN24_1023632,Agree,Agree,Agree
GEN24_1023634,Disagree,NA,NA
GEN24_1023635,Agree,NA,NA
GEN24_1023636,Don't know / Not sure,NA,NA
GEN24_1023639,Agree,Agree,Agree
GEN24_1023642,Don't know / Not sure,Agree,Agree
GEN24_1023644,Agree,Agree,Agree
GEN24_1023647,Don't know / Not sure,NA,NA
GEN24_1023649,Agree,NA,NA
GEN24_1023650,Disagree,NA,NA
GEN24_1023653,Agree,NA,NA
GEN24_1023654,Agree,NA,NA
GEN24_1023657,Agree,Agree,Agree
GEN24_1023658,Agree,Agree,Agree
GEN24_1023662,Agree,NA,NA
GEN24_1023678,Disagree,NA,NA
GEN24_1023684,Agree,NA,NA
GEN24_1023689,Don't know / Not sure,NA,NA
GEN24_1023700,Don't know / Not sure,NA,NA
GEN24_1023716,Agree,NA,NA
GEN24_1023719,Disagree,Agree,Disagree
GEN24_1023720,Don't know / Not sure,NA,NA
GEN24_1023728,Don't know / Not sure,NA,NA
GEN24_1023733,Agree,Agree,Agree
GEN24_1023734,Agree,NA,NA
GEN24_1023761,Agree,NA,NA
GEN24_1023762,Agree,Agree,Agree
GEN24_1023766,Disagree,NA,NA
GEN24_1023775,Don't know / Not sure,Agree,Agree
GEN24_1023776,Agree,Agree,Agree
GEN24_1023777,Agree,NA,NA
GEN24_1023784,Disagree,NA,NA
GEN24_1023785,Agree,NA,NA
GEN24_1023796,Don't know / Not sure,NA,NA
GEN24_1023799,Agree,NA,NA
GEN24_1023800,Don't know / Not sure,NA,NA
GEN24_1023801,Agree,Agree,Agree
GEN24_1023810,Agree,NA,Agree
GEN24_1023812,Agree,Agree,Agree
GEN24_1023818,Agree,Agree,Agree
GEN24_1023820,Disagree,Agree,Disagree
GEN24_1023821,Agree,NA,NA
GEN24_1023822,Agree,NA,NA
GEN24_1023823,Agree,Agree,Agree
GEN24_1023824,Agree,Agree,Agree
GEN24_1023826,Don't know / Not sure,NA,NA
GEN24_1023827,Don't know / Not sure,NA,NA
GEN24_1023828,Don't know / Not sure,NA,NA
GEN24_1023830,Don't know / Not sure,NA,NA
GEN24_1023834,Agree,Agree,Agree
GEN24_1023837,Agree,Agree,Agree
GEN24_1023838,Disagree,NA,NA
GEN24_1023841,Disagree,Agree,Agree
GEN24_1023849,Don't know / Not sure,NA,NA
GEN24_1023851,Agree,Agree,Agree
GEN24_1023855,Don't know / Not sure,Agree,Agree
GEN24_1023860,Don't know / Not sure,Agree,Agree
GEN24_1023861,Agree,Agree,Agree
GEN24_1023871,Disagree,Agree,Agree
GEN24_1023872,Agree,Agree,Agree
GEN24_1023880,Don't know / Not sure,NA,NA
GEN24_1023884,Disagree,Agree,Agree
GEN24_1023886,Disagree,NA,NA
GEN24_1023888,Agree,Agree,Agree
GEN24_1023892,Don't know / Not sure,NA,NA
GEN24_1023895,Agree,Agree,Agree
GEN24_1023897,Agree,Agree,Agree
GEN24_1023898,Agree,NA,NA
GEN24_1023899,Agree,NA,NA
